timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-14T09:17:22Z;pqc_client;0.00%;6.582MiB / 7.751GiB;0.08%;1.81MB / 446kB;12.3MB / 3.37MB;1
2026-05-14T09:17:22Z;pqc_client_2;0.00%;1.75MiB / 7.751GiB;0.02%;1.8MB / 447kB;0B / 4.45MB;1
2026-05-14T09:17:22Z;pqc_client_3;0.00%;2.086MiB / 7.751GiB;0.03%;1.81MB / 448kB;696kB / 3.31MB;1
2026-05-14T09:17:22Z;pqc_client_4;0.00%;1.75MiB / 7.751GiB;0.02%;1.8MB / 450kB;0B / 4.4MB;1
2026-05-14T09:17:22Z;pqc_client_5;0.00%;1.758MiB / 7.751GiB;0.02%;1.8MB / 450kB;0B / 4.33MB;1
2026-05-14T09:17:22Z;pqc_client_6;0.00%;1.754MiB / 7.751GiB;0.02%;1.8MB / 447kB;0B / 4.45MB;1
2026-05-14T09:17:22Z;pqc_server;0.00%;10.92MiB / 7.751GiB;0.14%;2.68MB / 10.8MB;21.5MB / 0B;2
2026-05-14T09:17:22Z;pqc_monitor;0.00%;6.664MiB / 7.751GiB;0.08%;13.5MB / 13.5MB;12.6MB / 27.9MB;3
2026-05-14T09:17:26Z;pqc_client;0.00%;6.582MiB / 7.751GiB;0.08%;1.81MB / 446kB;12.3MB / 3.37MB;1
2026-05-14T09:17:26Z;pqc_client_2;0.00%;1.75MiB / 7.751GiB;0.02%;1.8MB / 447kB;0B / 4.45MB;1
2026-05-14T09:17:26Z;pqc_client_3;0.00%;2.086MiB / 7.751GiB;0.03%;1.81MB / 448kB;696kB / 3.31MB;1
2026-05-14T09:17:26Z;pqc_client_4;0.00%;1.75MiB / 7.751GiB;0.02%;1.8MB / 450kB;0B / 4.4MB;1
2026-05-14T09:17:26Z;pqc_client_5;0.00%;1.758MiB / 7.751GiB;0.02%;1.8MB / 450kB;0B / 4.33MB;1
2026-05-14T09:17:26Z;pqc_client_6;0.00%;1.754MiB / 7.751GiB;0.02%;1.8MB / 447kB;0B / 4.45MB;1
2026-05-14T09:17:26Z;pqc_server;0.00%;10.92MiB / 7.751GiB;0.14%;2.68MB / 10.8MB;21.5MB / 0B;2
2026-05-14T09:17:26Z;pqc_monitor;0.00%;6.664MiB / 7.751GiB;0.08%;13.5MB / 13.5MB;12.6MB / 27.9MB;3
2026-05-14T09:17:30Z;pqc_client;93.49%;217.2MiB / 7.751GiB;2.74%;1.84MB / 495kB;12.3MB / 3.37MB;180
2026-05-14T09:17:30Z;pqc_client_2;86.61%;220.9MiB / 7.751GiB;2.78%;1.82MB / 484kB;0B / 4.45MB;179
2026-05-14T09:17:30Z;pqc_client_3;96.59%;213.8MiB / 7.751GiB;2.69%;1.82MB / 486kB;696kB / 3.31MB;188
2026-05-14T09:17:30Z;pqc_client_4;91.59%;178.3MiB / 7.751GiB;2.25%;1.81MB / 483kB;0B / 4.4MB;195
2026-05-14T09:17:30Z;pqc_client_5;63.92%;147.4MiB / 7.751GiB;1.86%;1.81MB / 485kB;0B / 4.33MB;105
2026-05-14T09:17:30Z;pqc_client_6;70.73%;162.1MiB / 7.751GiB;2.04%;1.81MB / 481kB;0B / 4.45MB;224
2026-05-14T09:17:30Z;pqc_server;0.88%;10.92MiB / 7.751GiB;0.14%;2.91MB / 10.9MB;21.5MB / 0B;2
2026-05-14T09:17:30Z;pqc_monitor;0.04%;6.664MiB / 7.751GiB;0.08%;13.6MB / 13.6MB;12.6MB / 27.9MB;3
2026-05-14T09:17:34Z;pqc_client;17.99%;143.6MiB / 7.751GiB;1.81%;2.12MB / 557kB;12.3MB / 3.96MB;84
2026-05-14T09:17:34Z;pqc_client_2;11.25%;187.1MiB / 7.751GiB;2.36%;2.02MB / 543kB;0B / 4.45MB;113
2026-05-14T09:17:34Z;pqc_client_3;15.95%;185.6MiB / 7.751GiB;2.34%;2.03MB / 547kB;696kB / 3.31MB;112
2026-05-14T09:17:34Z;pqc_client_4;12.27%;186.9MiB / 7.751GiB;2.36%;2.02MB / 547kB;0B / 4.4MB;113
2026-05-14T09:17:34Z;pqc_client_5;20.10%;168.6MiB / 7.751GiB;2.12%;2.05MB / 552kB;0B / 4.33MB;102
2026-05-14T09:17:34Z;pqc_client_6;15.55%;168.7MiB / 7.751GiB;2.13%;2.05MB / 549kB;0B / 4.45MB;102
2026-05-14T09:17:34Z;pqc_server;50.85%;10.93MiB / 7.751GiB;0.14%;3.29MB / 12.3MB;21.5MB / 0B;2
