timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-09T10:37:30Z;pqc_client;0.14%;10.68MiB / 7.751GiB;0.13%;13.5kB / 3.64kB;18.4MB / 32.8kB;3
2026-05-09T10:37:30Z;pqc_client_2;0.00%;1.309MiB / 7.751GiB;0.02%;2.32kB / 126B;819kB / 0B;1
2026-05-09T10:37:30Z;pqc_client_3;0.00%;916KiB / 7.751GiB;0.01%;1.96kB / 126B;0B / 0B;1
2026-05-09T10:37:30Z;pqc_client_4;0.00%;992KiB / 7.751GiB;0.01%;2.23kB / 126B;197kB / 0B;1
2026-05-09T10:37:30Z;pqc_client_5;0.00%;916KiB / 7.751GiB;0.01%;2.15kB / 126B;0B / 0B;1
2026-05-09T10:37:30Z;pqc_client_6;0.00%;1.047MiB / 7.751GiB;0.01%;2.19kB / 126B;385kB / 0B;1
2026-05-09T10:37:30Z;pqc_server;0.00%;8.641MiB / 7.751GiB;0.11%;4.78kB / 11kB;16.9MB / 0B;2
2026-05-09T10:37:30Z;pqc_monitor;0.00%;5.273MiB / 7.751GiB;0.07%;17.8kB / 14.7kB;8.9MB / 32.8kB;3
2026-05-09T10:37:34Z;pqc_client;0.13%;10.56MiB / 7.751GiB;0.13%;13.6kB / 3.72kB;18.4MB / 49.2kB;3
2026-05-09T10:37:34Z;pqc_client_2;0.00%;1.309MiB / 7.751GiB;0.02%;2.32kB / 126B;819kB / 0B;1
2026-05-09T10:37:34Z;pqc_client_3;0.00%;916KiB / 7.751GiB;0.01%;1.96kB / 126B;0B / 0B;1
2026-05-09T10:37:34Z;pqc_client_4;0.00%;992KiB / 7.751GiB;0.01%;2.23kB / 126B;197kB / 0B;1
2026-05-09T10:37:34Z;pqc_client_5;0.00%;916KiB / 7.751GiB;0.01%;2.15kB / 126B;0B / 0B;1
2026-05-09T10:37:34Z;pqc_client_6;0.00%;1.047MiB / 7.751GiB;0.01%;2.19kB / 126B;385kB / 0B;1
2026-05-09T10:37:34Z;pqc_server;0.00%;8.641MiB / 7.751GiB;0.11%;4.86kB / 11.1kB;16.9MB / 0B;2
2026-05-09T10:37:34Z;pqc_monitor;0.00%;5.277MiB / 7.751GiB;0.07%;17.8kB / 14.7kB;8.9MB / 41kB;3
