timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-10T16:40:13Z;pqc_client;0.00%;14.42MiB / 7.751GiB;0.18%;5.46MB / 2.14MB;13.7MB / 30.6MB;1
2026-05-10T16:40:13Z;pqc_client_2;0.00%;11.02MiB / 7.751GiB;0.14%;5.45MB / 2.14MB;3.48MB / 30.2MB;1
2026-05-10T16:40:13Z;pqc_client_3;0.00%;11.04MiB / 7.751GiB;0.14%;5.45MB / 2.14MB;3.46MB / 30MB;1
2026-05-10T16:40:13Z;pqc_client_4;0.00%;15.25MiB / 7.751GiB;0.19%;5.45MB / 2.14MB;12.7MB / 30.3MB;1
2026-05-10T16:40:13Z;pqc_client_5;0.00%;9.75MiB / 7.751GiB;0.12%;5.44MB / 2.14MB;270kB / 30MB;1
2026-05-10T16:40:13Z;pqc_client_6;0.00%;9.859MiB / 7.751GiB;0.12%;5.44MB / 2.14MB;582kB / 30.1MB;1
2026-05-10T16:40:13Z;pqc_server;0.00%;3.492MiB / 7.751GiB;0.04%;12.9MB / 32.7MB;1.83MB / 0B;2
2026-05-10T16:40:13Z;pqc_monitor;0.00%;16.8MiB / 7.751GiB;0.21%;45.5MB / 45.5MB;9.04MB / 85MB;3
2026-05-10T16:40:16Z;pqc_client;0.00%;14.42MiB / 7.751GiB;0.18%;5.46MB / 2.14MB;13.7MB / 30.6MB;1
2026-05-10T16:40:16Z;pqc_client_2;0.00%;11.02MiB / 7.751GiB;0.14%;5.45MB / 2.14MB;3.48MB / 30.2MB;1
2026-05-10T16:40:16Z;pqc_client_3;0.00%;11.04MiB / 7.751GiB;0.14%;5.45MB / 2.14MB;3.46MB / 30MB;1
2026-05-10T16:40:16Z;pqc_client_4;0.00%;15.25MiB / 7.751GiB;0.19%;5.45MB / 2.14MB;12.7MB / 30.3MB;1
2026-05-10T16:40:16Z;pqc_client_5;0.00%;9.75MiB / 7.751GiB;0.12%;5.44MB / 2.14MB;270kB / 30MB;1
2026-05-10T16:40:16Z;pqc_client_6;0.00%;9.859MiB / 7.751GiB;0.12%;5.44MB / 2.14MB;582kB / 30.1MB;1
2026-05-10T16:40:16Z;pqc_server;0.00%;3.492MiB / 7.751GiB;0.04%;12.9MB / 32.7MB;1.83MB / 0B;2
2026-05-10T16:40:16Z;pqc_monitor;0.00%;16.8MiB / 7.751GiB;0.21%;45.5MB / 45.5MB;9.04MB / 85MB;3
2026-05-10T16:40:20Z;pqc_client;80.73%;218.9MiB / 7.751GiB;2.76%;5.48MB / 2.17MB;13.7MB / 30.6MB;198
2026-05-10T16:40:20Z;pqc_client_2;81.30%;213.6MiB / 7.751GiB;2.69%;5.46MB / 2.17MB;3.48MB / 30.2MB;203
2026-05-10T16:40:20Z;pqc_client_3;81.55%;202.4MiB / 7.751GiB;2.55%;5.46MB / 2.17MB;3.46MB / 30MB;199
2026-05-10T16:40:20Z;pqc_client_4;81.20%;202.9MiB / 7.751GiB;2.56%;5.46MB / 2.17MB;12.7MB / 30.3MB;220
2026-05-10T16:40:20Z;pqc_client_5;78.49%;181.6MiB / 7.751GiB;2.29%;5.45MB / 2.17MB;270kB / 30MB;226
2026-05-10T16:40:20Z;pqc_client_6;79.38%;186.8MiB / 7.751GiB;2.35%;5.45MB / 2.17MB;582kB / 30.1MB;207
2026-05-10T16:40:20Z;pqc_server;0.35%;3.496MiB / 7.751GiB;0.04%;13MB / 32.7MB;1.83MB / 0B;2
2026-05-10T16:40:20Z;pqc_monitor;0.04%;16.81MiB / 7.751GiB;0.21%;45.7MB / 45.6MB;9.04MB / 85MB;3
2026-05-10T16:40:24Z;pqc_client;12.55%;224.7MiB / 7.751GiB;2.83%;5.63MB / 2.23MB;13.7MB / 30.6MB;128
2026-05-10T16:40:24Z;pqc_client_2;14.58%;174.7MiB / 7.751GiB;2.20%;5.71MB / 2.25MB;3.48MB / 30.2MB;100
2026-05-10T16:40:24Z;pqc_client_3;15.07%;177.9MiB / 7.751GiB;2.24%;5.7MB / 2.25MB;3.46MB / 30MB;102
2026-05-10T16:40:24Z;pqc_client_4;20.01%;183.8MiB / 7.751GiB;2.32%;5.7MB / 2.25MB;12.7MB / 30.3MB;103
2026-05-10T16:40:24Z;pqc_client_5;14.10%;189.9MiB / 7.751GiB;2.39%;5.66MB / 2.24MB;270kB / 30MB;110
2026-05-10T16:40:24Z;pqc_client_6;17.30%;181.7MiB / 7.751GiB;2.29%;5.68MB / 2.24MB;582kB / 30.1MB;105
2026-05-10T16:40:24Z;pqc_server;52.51%;3.5MiB / 7.751GiB;0.04%;13.5MB / 34.1MB;1.83MB / 0B;2
2026-05-10T16:40:24Z;pqc_monitor;0.21%;16.86MiB / 7.751GiB;0.21%;47.6MB / 47.6MB;9.04MB / 85MB;3
2026-05-10T16:40:28Z;pqc_client;23.96%;14.86MiB / 7.751GiB;0.19%;6.06MB / 2.29MB;13.7MB / 31.1MB;3
2026-05-10T16:40:28Z;pqc_client_2;7.95%;12.96MiB / 7.751GiB;0.16%;6.04MB / 2.29MB;3.48MB / 30.2MB;3
2026-05-10T16:40:28Z;pqc_client_3;15.96%;21.31MiB / 7.751GiB;0.27%;6.02MB / 2.29MB;3.46MB / 30MB;8
2026-05-10T16:40:28Z;pqc_client_4;12.68%;82.2MiB / 7.751GiB;1.04%;5.91MB / 2.28MB;12.7MB / 30.3MB;42
2026-05-10T16:40:28Z;pqc_client_5;12.74%;59.97MiB / 7.751GiB;0.76%;5.93MB / 2.28MB;270kB / 30MB;32
2026-05-10T16:40:28Z;pqc_client_6;12.47%;33.47MiB / 7.751GiB;0.42%;5.99MB / 2.29MB;582kB / 31.2MB;16
2026-05-10T16:40:28Z;pqc_server;51.39%;3.5MiB / 7.751GiB;0.04%;13.7MB / 36.1MB;1.83MB / 0B;2
2026-05-10T16:40:28Z;pqc_monitor;0.23%;16.93MiB / 7.751GiB;0.21%;49.8MB / 49.8MB;9.04MB / 85MB;3
2026-05-10T16:40:32Z;pqc_client;0.00%;14.44MiB / 7.751GiB;0.18%;6.06MB / 2.29MB;13.7MB / 32.1MB;1
2026-05-10T16:40:32Z;pqc_client_2;0.00%;11.04MiB / 7.751GiB;0.14%;6.05MB / 2.3MB;3.48MB / 30.3MB;1
2026-05-10T16:40:32Z;pqc_client_3;0.00%;11.05MiB / 7.751GiB;0.14%;6.05MB / 2.29MB;3.46MB / 30.1MB;1
2026-05-10T16:40:32Z;pqc_client_4;0.00%;15.27MiB / 7.751GiB;0.19%;6.04MB / 2.3MB;12.7MB / 30.4MB;1
2026-05-10T16:40:32Z;pqc_client_5;0.00%;9.773MiB / 7.751GiB;0.12%;6.03MB / 2.3MB;270kB / 30.1MB;1
2026-05-10T16:40:32Z;pqc_client_6;0.00%;9.879MiB / 7.751GiB;0.12%;6.04MB / 2.29MB;582kB / 31.4MB;1
2026-05-10T16:40:32Z;pqc_server;0.00%;3.492MiB / 7.751GiB;0.04%;13.8MB / 36.2MB;1.83MB / 0B;2
2026-05-10T16:40:32Z;pqc_monitor;0.00%;16.94MiB / 7.751GiB;0.21%;50MB / 50MB;9.04MB / 85MB;3
2026-05-10T16:40:35Z;pqc_client;0.00%;14.44MiB / 7.751GiB;0.18%;6.06MB / 2.29MB;13.7MB / 32.1MB;1
