timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-09T11:44:11Z;pqc_client;0.00%;10.9MiB / 7.751GiB;0.14%;1.24MB / 311kB;19.2MB / 1.63MB;2
2026-05-09T11:44:11Z;pqc_client_2;0.00%;3.531MiB / 7.751GiB;0.04%;1.23MB / 308kB;1.34MB / 3.06MB;1
2026-05-09T11:44:11Z;pqc_client_3;0.00%;3.184MiB / 7.751GiB;0.04%;1.21MB / 308kB;655kB / 3.06MB;1
2026-05-09T11:44:11Z;pqc_client_4;0.00%;2.953MiB / 7.751GiB;0.04%;1.22MB / 308kB;197kB / 1.56MB;1
2026-05-09T11:44:11Z;pqc_client_5;0.00%;2.98MiB / 7.751GiB;0.04%;1.21MB / 307kB;254kB / 1.56MB;1
2026-05-09T11:44:11Z;pqc_client_6;0.00%;3.391MiB / 7.751GiB;0.04%;1.21MB / 307kB;1.17MB / 3.03MB;1
2026-05-09T11:44:11Z;pqc_server;0.00%;9.086MiB / 7.751GiB;0.11%;1.85MB / 7.3MB;16.9MB / 0B;2
2026-05-09T11:44:11Z;pqc_monitor;0.00%;6.086MiB / 7.751GiB;0.08%;9.15MB / 9.15MB;8.9MB / 9.93MB;3
2026-05-09T11:44:15Z;pqc_client;0.00%;10.9MiB / 7.751GiB;0.14%;1.24MB / 311kB;19.2MB / 1.63MB;2
2026-05-09T11:44:15Z;pqc_client_2;0.00%;3.531MiB / 7.751GiB;0.04%;1.23MB / 308kB;1.34MB / 3.06MB;1
2026-05-09T11:44:15Z;pqc_client_3;0.00%;3.184MiB / 7.751GiB;0.04%;1.21MB / 308kB;655kB / 3.06MB;1
2026-05-09T11:44:15Z;pqc_client_4;0.00%;2.953MiB / 7.751GiB;0.04%;1.22MB / 308kB;197kB / 1.56MB;1
2026-05-09T11:44:15Z;pqc_client_5;0.00%;2.98MiB / 7.751GiB;0.04%;1.21MB / 307kB;254kB / 3.04MB;1
2026-05-09T11:44:15Z;pqc_client_6;0.00%;3.391MiB / 7.751GiB;0.04%;1.21MB / 307kB;1.17MB / 3.03MB;1
2026-05-09T11:44:15Z;pqc_server;0.00%;9.086MiB / 7.751GiB;0.11%;1.85MB / 7.3MB;16.9MB / 0B;2
2026-05-09T11:44:15Z;pqc_monitor;0.00%;6.086MiB / 7.751GiB;0.08%;9.15MB / 9.15MB;8.9MB / 9.93MB;3
2026-05-09T11:44:20Z;pqc_client;68.16%;283.8MiB / 7.751GiB;3.58%;1.28MB / 382kB;19.5MB / 1.63MB;166
2026-05-09T11:44:20Z;pqc_client_2;87.00%;265.8MiB / 7.751GiB;3.35%;1.29MB / 382kB;1.34MB / 3.06MB;159
2026-05-09T11:44:20Z;pqc_client_3;81.23%;277.6MiB / 7.751GiB;3.50%;1.25MB / 378kB;655kB / 3.06MB;166
2026-05-09T11:44:20Z;pqc_client_4;108.56%;263.7MiB / 7.751GiB;3.32%;1.24MB / 371kB;197kB / 1.56MB;173
2026-05-09T11:44:20Z;pqc_client_5;102.54%;270MiB / 7.751GiB;3.40%;1.23MB / 370kB;508kB / 3.04MB;171
2026-05-09T11:44:20Z;pqc_client_6;95.76%;252.6MiB / 7.751GiB;3.18%;1.23MB / 365kB;1.96MB / 3.03MB;172
2026-05-09T11:44:20Z;pqc_server;4.00%;9.09MiB / 7.751GiB;0.11%;2.25MB / 7.51MB;16.9MB / 0B;2
2026-05-09T11:44:20Z;pqc_monitor;0.06%;6.098MiB / 7.751GiB;0.08%;9.48MB / 9.48MB;8.9MB / 20MB;3
2026-05-09T11:44:24Z;pqc_client;17.65%;87.17MiB / 7.751GiB;1.10%;1.69MB / 441kB;19.5MB / 2.26MB;48
2026-05-09T11:44:24Z;pqc_client_2;18.13%;106.3MiB / 7.751GiB;1.34%;1.62MB / 430kB;1.34MB / 3.06MB;63
2026-05-09T11:44:24Z;pqc_client_3;14.58%;132.7MiB / 7.751GiB;1.67%;1.55MB / 421kB;655kB / 3.06MB;79
2026-05-09T11:44:24Z;pqc_client_4;10.74%;162.4MiB / 7.751GiB;2.05%;1.49MB / 413kB;197kB / 1.56MB;97
2026-05-09T11:44:24Z;pqc_client_5;17.49%;105.9MiB / 7.751GiB;1.33%;1.59MB / 427kB;508kB / 3.04MB;63
2026-05-09T11:44:24Z;pqc_client_6;15.39%;140MiB / 7.751GiB;1.76%;1.52MB / 417kB;1.96MB / 3.03MB;83
2026-05-09T11:44:24Z;pqc_server;53.09%;9.094MiB / 7.751GiB;0.11%;2.55MB / 9.43MB;16.9MB / 0B;2
2026-05-09T11:44:24Z;pqc_monitor;0.34%;6.148MiB / 7.751GiB;0.08%;11.3MB / 11.3MB;8.9MB / 20MB;3
2026-05-09T11:44:28Z;pqc_client;0.00%;11.96MiB / 7.751GiB;0.15%;1.84MB / 462kB;19.5MB / 2.26MB;2
2026-05-09T11:44:28Z;pqc_client_2;0.00%;4.477MiB / 7.751GiB;0.06%;1.83MB / 460kB;1.34MB / 3.06MB;1
2026-05-09T11:44:28Z;pqc_client_3;0.00%;4.125MiB / 7.751GiB;0.05%;1.81MB / 459kB;655kB / 3.06MB;1
2026-05-09T11:44:28Z;pqc_client_4;23.32%;24.25MiB / 7.751GiB;0.31%;1.77MB / 455kB;197kB / 1.67MB;14
2026-05-09T11:44:28Z;pqc_client_5;5.43%;4.031MiB / 7.751GiB;0.05%;1.8MB / 457kB;508kB / 4.4MB;1
2026-05-09T11:44:28Z;pqc_client_6;13.60%;4.703MiB / 7.751GiB;0.06%;1.8MB / 457kB;1.96MB / 4.51MB;1
2026-05-09T11:44:28Z;pqc_server;10.74%;9.086MiB / 7.751GiB;0.11%;2.76MB / 10.9MB;16.9MB / 0B;2
