run_id,profile,iteration,total_conn,poisson_rate,jitter_ms,clients,pqc_client_cpu_avg,pqc_client_cpu_max,pqc_client_mem_avg,pqc_client_mem_max,pqc_server_cpu_avg,pqc_server_cpu_max,pqc_server_mem_avg,pqc_server_mem_max,pqc_monitor_cpu_avg,pqc_monitor_cpu_max,pqc_monitor_mem_avg,pqc_monitor_mem_max
classic_cmp_poisson_jitter_001,poisson_jitter,1,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",34.67,139.27,0.98,3.33,15.01,53.47,0.11,0.11,0.11,0.38,0.07,0.08
classic_cmp_poisson_jitter_002,poisson_jitter,2,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",11.64,65.57,0.46,2.70,13.66,51.96,0.11,0.12,0.09,0.23,0.08,0.08
classic_cmp_poisson_jitter_003,poisson_jitter,3,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",15.02,87.00,0.71,3.35,9.69,53.09,0.11,0.11,0.06,0.34,0.08,0.08
classic_cmp_poisson_jitter_004,poisson_jitter,4,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",14.58,72.84,0.73,2.57,14.76,52.00,0.11,0.12,0.09,0.27,0.08,0.08
classic_cmp_poisson_jitter_005,poisson_jitter,5,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",16.15,87.95,0.74,3.32,8.05,50.14,0.11,0.11,0.07,0.28,0.08,0.08
classic_cmp_stress_001,stress,1,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",23.97,78.69,0.99,2.74,20.16,51.28,0.11,0.12,0.08,0.17,0.08,0.08
classic_cmp_stress_002,stress,2,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",20.37,75.10,0.72,1.66,15.95,49.77,0.11,0.11,0.11,0.33,0.08,0.09
classic_cmp_stress_003,stress,3,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",21.07,74.62,0.84,2.09,20.62,51.10,0.11,0.12,0.09,0.24,0.09,0.09
classic_cmp_stress_004,stress,4,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",21.78,80.04,1.04,2.71,20.35,50.91,0.11,0.11,0.12,0.34,0.09,0.09
classic_cmp_stress_005,stress,5,1000,25,50,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",19.11,64.83,0.68,2.04,20.42,51.33,0.11,0.11,0.11,0.30,0.09,0.09
