timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-09T11:45:31Z;pqc_client;78.25%;141.4MiB / 7.751GiB;1.78%;3.03MB / 783kB;19.7MB / 6.08MB;213
2026-05-09T11:45:31Z;pqc_client_2;78.69%;127.4MiB / 7.751GiB;1.60%;3.02MB / 777kB;1.34MB / 6.03MB;195
2026-05-09T11:45:31Z;pqc_client_3;45.20%;47.02MiB / 7.751GiB;0.59%;3MB / 764kB;745kB / 7.5MB;171
2026-05-09T11:45:31Z;pqc_client_4;77.93%;123.2MiB / 7.751GiB;1.55%;3.01MB / 784kB;459kB / 6.01MB;270
2026-05-09T11:45:31Z;pqc_client_5;77.83%;103.7MiB / 7.751GiB;1.31%;2.99MB / 768kB;1.28MB / 7.46MB;252
2026-05-09T11:45:31Z;pqc_client_6;77.31%;90.74MiB / 7.751GiB;1.14%;2.98MB / 764kB;2.08MB / 5.98MB;233
2026-05-09T11:45:31Z;pqc_server;0.00%;9.086MiB / 7.751GiB;0.11%;4.65MB / 18MB;16.9MB / 0B;2
2026-05-09T11:45:31Z;pqc_monitor;0.04%;6.492MiB / 7.751GiB;0.08%;22.7MB / 22.7MB;8.9MB / 47.9MB;3
2026-05-09T11:45:35Z;pqc_client;25.78%;214.9MiB / 7.751GiB;2.71%;3.21MB / 857kB;19.7MB / 6.08MB;123
2026-05-09T11:45:35Z;pqc_client_2;25.02%;217.4MiB / 7.751GiB;2.74%;3.18MB / 852kB;1.34MB / 6.03MB;128
2026-05-09T11:45:35Z;pqc_client_3;17.47%;229MiB / 7.751GiB;2.89%;3.14MB / 847kB;1.26MB / 7.5MB;135
2026-05-09T11:45:35Z;pqc_client_4;37.82%;198.6MiB / 7.751GiB;2.50%;3.2MB / 858kB;459kB / 6.01MB;117
2026-05-09T11:45:35Z;pqc_client_5;26.85%;240.7MiB / 7.751GiB;3.03%;3.1MB / 840kB;1.28MB / 7.46MB;142
2026-05-09T11:45:35Z;pqc_client_6;13.32%;262.7MiB / 7.751GiB;3.31%;3.05MB / 834kB;2.08MB / 5.98MB;155
2026-05-09T11:45:35Z;pqc_server;49.52%;9.215MiB / 7.751GiB;0.12%;5.09MB / 18.9MB;16.9MB / 0B;2
2026-05-09T11:45:35Z;pqc_monitor;0.17%;6.508MiB / 7.751GiB;0.08%;23.2MB / 23.2MB;8.9MB / 47.9MB;3
2026-05-09T11:45:39Z;pqc_client;17.45%;41.78MiB / 7.751GiB;0.53%;3.57MB / 908kB;19.7MB / 6.08MB;19
