timestamp,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-04-18T11:24:28Z,pqc_client,1341.93%,151.7MiB / 7.751GiB,1.91%,23.3kB / 89kB,24.3MB / 188kB,202
2026-04-18T11:24:28Z,pqc_client_2,0.00%,6MiB / 7.751GiB,0.08%,11.6kB / 12kB,13MB / 188kB,1
2026-04-18T11:24:28Z,pqc_client_3,0.00%,1.555MiB / 7.751GiB,0.02%,13.3kB / 13.4kB,1.79MB / 197kB,1
2026-04-18T11:24:28Z,pqc_client_4,0.00%,2.109MiB / 7.751GiB,0.03%,12.7kB / 12.9kB,3.22MB / 188kB,1
2026-04-18T11:24:28Z,pqc_client_5,0.00%,3.352MiB / 7.751GiB,0.04%,12.2kB / 12.2kB,5.51MB / 188kB,1
2026-04-18T11:24:28Z,pqc_client_6,0.00%,1.02MiB / 7.751GiB,0.01%,11.7kB / 12.2kB,0B / 188kB,1
2026-04-18T11:24:28Z,pqc_server,11.65%,9.703MiB / 7.751GiB,0.12%,2.07MB / 3.92MB,32.5MB / 8.19kB,3
2026-04-18T11:24:28Z,pqc_monitor,0.07%,10.44MiB / 7.751GiB,0.13%,6.87MB / 6.87MB,22.5MB / 5.77MB,3
2026-04-18T11:24:45Z,pqc_client,0.00%,10.36MiB / 7.751GiB,0.13%,943kB / 428kB,24.3MB / 1.84MB,1
2026-04-18T11:24:45Z,pqc_client_2,0.00%,6.93MiB / 7.751GiB,0.09%,942kB / 429kB,13MB / 1.84MB,1
2026-04-18T11:24:45Z,pqc_client_3,0.00%,2.395MiB / 7.751GiB,0.03%,945kB / 429kB,1.79MB / 1.84MB,1
2026-04-18T11:24:45Z,pqc_client_4,0.00%,2.953MiB / 7.751GiB,0.04%,943kB / 430kB,3.22MB / 352kB,1
2026-04-18T11:24:45Z,pqc_client_5,0.00%,4.195MiB / 7.751GiB,0.05%,942kB / 429kB,5.51MB / 352kB,1
2026-04-18T11:24:45Z,pqc_client_6,0.00%,1.867MiB / 7.751GiB,0.02%,941kB / 429kB,0B / 1.84MB,1
2026-04-18T11:24:45Z,pqc_server,0.00%,9.699MiB / 7.751GiB,0.12%,2.57MB / 5.64MB,32.5MB / 8.19kB,3
2026-04-18T11:24:45Z,pqc_monitor,0.00%,10.48MiB / 7.751GiB,0.13%,8.21MB / 8.21MB,22.5MB / 5.77MB,3
2026-04-18T11:25:02Z,pqc_client,0.00%,10.36MiB / 7.751GiB,0.13%,943kB / 428kB,24.3MB / 1.84MB,1
2026-04-18T11:25:02Z,pqc_client_2,0.00%,6.93MiB / 7.751GiB,0.09%,942kB / 429kB,13MB / 1.84MB,1
2026-04-18T11:25:02Z,pqc_client_3,0.00%,2.395MiB / 7.751GiB,0.03%,945kB / 429kB,1.79MB / 1.84MB,1
2026-04-18T11:25:02Z,pqc_client_4,0.00%,2.953MiB / 7.751GiB,0.04%,943kB / 430kB,3.22MB / 410kB,1
2026-04-18T11:25:02Z,pqc_client_5,0.00%,4.195MiB / 7.751GiB,0.05%,942kB / 429kB,5.51MB / 352kB,1
2026-04-18T11:25:02Z,pqc_client_6,0.00%,1.867MiB / 7.751GiB,0.02%,941kB / 429kB,0B / 1.84MB,1
2026-04-18T11:25:02Z,pqc_server,0.00%,9.699MiB / 7.751GiB,0.12%,2.57MB / 5.64MB,32.5MB / 8.19kB,3
2026-04-18T11:25:02Z,pqc_monitor,0.00%,10.48MiB / 7.751GiB,0.13%,8.21MB / 8.21MB,22.5MB / 17.1MB,3
