timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-17T13:03:07Z;pqc_client;0.00%;51.77MiB / 7.751GiB;0.65%;29.5MB / 8.04MB;6.26MB / 84.2MB;1
2026-05-17T13:03:07Z;pqc_client_2;0.00%;49.67MiB / 7.751GiB;0.63%;29.5MB / 8.05MB;639kB / 83.9MB;1
2026-05-17T13:03:07Z;pqc_client_3;0.00%;49.27MiB / 7.751GiB;0.62%;28.9MB / 7.81MB;1.63MB / 81.5MB;1
2026-05-17T13:03:07Z;pqc_client_4;0.00%;48.32MiB / 7.751GiB;0.61%;28.9MB / 7.81MB;98.3kB / 80.9MB;1
2026-05-17T13:03:07Z;pqc_client_5;0.00%;48.71MiB / 7.751GiB;0.61%;28.8MB / 7.81MB;672kB / 80.7MB;1
2026-05-17T13:03:07Z;pqc_client_6;0.00%;52.97MiB / 7.751GiB;0.67%;28.8MB / 7.81MB;10.3MB / 80.6MB;1
2026-05-17T13:03:07Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;47.2MB / 175MB;15.6MB / 0B;2
2026-05-17T13:03:07Z;pqc_monitor;0.03%;16.87MiB / 7.751GiB;0.21%;222MB / 222MB;15.2MB / 513MB;2
2026-05-17T13:03:10Z;pqc_client;0.00%;51.77MiB / 7.751GiB;0.65%;29.5MB / 8.04MB;6.26MB / 84.2MB;1
2026-05-17T13:03:10Z;pqc_client_2;0.00%;49.67MiB / 7.751GiB;0.63%;29.5MB / 8.05MB;639kB / 83.9MB;1
2026-05-17T13:03:10Z;pqc_client_3;0.00%;49.27MiB / 7.751GiB;0.62%;28.9MB / 7.81MB;1.63MB / 81.5MB;1
2026-05-17T13:03:10Z;pqc_client_4;0.00%;48.32MiB / 7.751GiB;0.61%;28.9MB / 7.81MB;98.3kB / 80.9MB;1
2026-05-17T13:03:10Z;pqc_client_5;0.00%;48.71MiB / 7.751GiB;0.61%;28.8MB / 7.81MB;672kB / 80.7MB;1
2026-05-17T13:03:10Z;pqc_client_6;0.00%;52.97MiB / 7.751GiB;0.67%;28.8MB / 7.81MB;10.3MB / 80.6MB;1
2026-05-17T13:03:10Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;47.2MB / 175MB;15.6MB / 0B;2
2026-05-17T13:03:10Z;pqc_monitor;0.04%;16.87MiB / 7.751GiB;0.21%;222MB / 222MB;15.2MB / 513MB;2
2026-05-17T13:03:14Z;pqc_client;108.95%;289.8MiB / 7.751GiB;3.65%;29.6MB / 8.11MB;6.26MB / 84.2MB;173
2026-05-17T13:03:14Z;pqc_client_2;81.01%;283.2MiB / 7.751GiB;3.57%;29.6MB / 8.09MB;639kB / 83.9MB;188
2026-05-17T13:03:14Z;pqc_client_3;82.25%;275.8MiB / 7.751GiB;3.47%;28.9MB / 7.85MB;1.63MB / 81.5MB;193
2026-05-17T13:03:14Z;pqc_client_4;80.95%;284.9MiB / 7.751GiB;3.59%;28.9MB / 7.86MB;98.3kB / 80.9MB;188
2026-05-17T13:03:14Z;pqc_client_5;81.53%;248.3MiB / 7.751GiB;3.13%;28.8MB / 7.84MB;672kB / 80.7MB;198
2026-05-17T13:03:14Z;pqc_client_6;82.90%;268.5MiB / 7.751GiB;3.38%;28.8MB / 7.85MB;10.3MB / 80.6MB;199
2026-05-17T13:03:14Z;pqc_server;1.18%;8.629MiB / 7.751GiB;0.11%;47.4MB / 175MB;15.6MB / 0B;2
2026-05-17T13:03:14Z;pqc_monitor;0.62%;16.93MiB / 7.751GiB;0.21%;223MB / 222MB;15.2MB / 513MB;2
2026-05-17T13:03:19Z;pqc_client;17.15%;137.9MiB / 7.751GiB;1.74%;30MB / 8.17MB;6.26MB / 84.2MB;53
2026-05-17T13:03:19Z;pqc_client_2;16.48%;174.3MiB / 7.751GiB;2.20%;29.9MB / 8.16MB;639kB / 84.1MB;76
2026-05-17T13:03:19Z;pqc_client_3;13.54%;178.8MiB / 7.751GiB;2.25%;29.2MB / 7.92MB;1.63MB / 81.5MB;79
2026-05-17T13:03:19Z;pqc_client_4;20.27%;154.6MiB / 7.751GiB;1.95%;29.2MB / 7.93MB;98.3kB / 80.9MB;65
2026-05-17T13:03:19Z;pqc_client_5;10.67%;249.9MiB / 7.751GiB;3.15%;29MB / 7.9MB;672kB / 81.1MB;122
2026-05-17T13:03:19Z;pqc_client_6;15.91%;210.8MiB / 7.751GiB;2.66%;29.1MB / 7.92MB;10.3MB / 80.6MB;96
2026-05-17T13:03:19Z;pqc_server;49.74%;8.637MiB / 7.751GiB;0.11%;47.9MB / 177MB;15.6MB / 0B;2
2026-05-17T13:03:19Z;pqc_monitor;0.72%;16.98MiB / 7.751GiB;0.21%;224MB / 224MB;15.2MB / 513MB;2
2026-05-17T13:03:22Z;pqc_client;14.56%;52.7MiB / 7.751GiB;0.66%;30.1MB / 8.2MB;6.26MB / 84.2MB;1
2026-05-17T13:03:22Z;pqc_client_2;14.76%;50.61MiB / 7.751GiB;0.64%;30.1MB / 8.2MB;639kB / 85.2MB;1
2026-05-17T13:03:22Z;pqc_client_3;14.39%;50.2MiB / 7.751GiB;0.63%;29.5MB / 7.96MB;1.63MB / 81.5MB;1
2026-05-17T13:03:22Z;pqc_client_4;11.79%;49.26MiB / 7.751GiB;0.62%;29.4MB / 7.96MB;98.3kB / 80.9MB;1
2026-05-17T13:03:22Z;pqc_client_5;41.72%;49.64MiB / 7.751GiB;0.63%;29.4MB / 7.96MB;672kB / 81.1MB;1
2026-05-17T13:03:22Z;pqc_client_6;23.28%;53.91MiB / 7.751GiB;0.68%;29.4MB / 7.96MB;10.3MB / 81.3MB;1
2026-05-17T13:03:22Z;pqc_server;28.60%;8.629MiB / 7.751GiB;0.11%;48.1MB / 178MB;15.6MB / 0B;2
2026-05-17T13:03:22Z;pqc_monitor;0.59%;17.06MiB / 7.751GiB;0.21%;227MB / 226MB;15.2MB / 513MB;2
2026-05-17T13:03:26Z;pqc_client;0.00%;52.7MiB / 7.751GiB;0.66%;30.1MB / 8.2MB;6.26MB / 84.2MB;1
2026-05-17T13:03:26Z;pqc_client_2;0.00%;50.61MiB / 7.751GiB;0.64%;30.1MB / 8.2MB;639kB / 85.2MB;1
2026-05-17T13:03:26Z;pqc_client_3;0.00%;50.2MiB / 7.751GiB;0.63%;29.5MB / 7.96MB;1.63MB / 81.5MB;1
2026-05-17T13:03:26Z;pqc_client_4;0.00%;49.26MiB / 7.751GiB;0.62%;29.4MB / 7.96MB;98.3kB / 80.9MB;1
2026-05-17T13:03:26Z;pqc_client_5;0.00%;49.64MiB / 7.751GiB;0.63%;29.4MB / 7.96MB;672kB / 82.2MB;1
2026-05-17T13:03:26Z;pqc_client_6;0.00%;53.91MiB / 7.751GiB;0.68%;29.4MB / 7.96MB;10.3MB / 82.1MB;1
2026-05-17T13:03:26Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;48.1MB / 178MB;15.6MB / 0B;2
2026-05-17T13:03:26Z;pqc_monitor;0.04%;17.06MiB / 7.751GiB;0.21%;227MB / 226MB;15.2MB / 513MB;2
2026-05-17T13:03:30Z;pqc_client;0.00%;52.7MiB / 7.751GiB;0.66%;30.1MB / 8.2MB;6.26MB / 84.2MB;1
2026-05-17T13:03:30Z;pqc_client_2;0.00%;50.61MiB / 7.751GiB;0.64%;30.1MB / 8.2MB;639kB / 85.2MB;1
2026-05-17T13:03:30Z;pqc_client_3;0.00%;50.2MiB / 7.751GiB;0.63%;29.5MB / 7.96MB;1.63MB / 82.9MB;1
2026-05-17T13:03:30Z;pqc_client_4;0.00%;49.26MiB / 7.751GiB;0.62%;29.4MB / 7.96MB;98.3kB / 80.9MB;1
2026-05-17T13:03:30Z;pqc_client_5;0.00%;49.64MiB / 7.751GiB;0.63%;29.4MB / 7.96MB;672kB / 82.2MB;1
2026-05-17T13:03:30Z;pqc_client_6;0.00%;53.91MiB / 7.751GiB;0.68%;29.4MB / 7.96MB;10.3MB / 82.1MB;1
2026-05-17T13:03:30Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;48.1MB / 178MB;15.6MB / 0B;2
2026-05-17T13:03:30Z;pqc_monitor;0.05%;17.06MiB / 7.751GiB;0.21%;227MB / 226MB;15.2MB / 513MB;2
