timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-15T11:01:22Z;pqc_client;76.31%;163.9MiB / 7.751GiB;2.07%;22.7MB / 5.77MB;15.1MB / 57.4MB;207
2026-05-15T11:01:22Z;pqc_client_2;82.06%;156.4MiB / 7.751GiB;1.97%;22.7MB / 5.77MB;1.09MB / 288MB;216
2026-05-15T11:01:22Z;pqc_client_3;80.89%;133.6MiB / 7.751GiB;1.68%;22.7MB / 5.77MB;532kB / 57.4MB;219
2026-05-15T11:01:22Z;pqc_client_4;79.38%;129.6MiB / 7.751GiB;1.63%;22.7MB / 5.76MB;573kB / 57.4MB;246
2026-05-15T11:01:22Z;pqc_client_5;79.38%;131.1MiB / 7.751GiB;1.65%;22.7MB / 5.77MB;1.04MB / 57.4MB;204
2026-05-15T11:01:22Z;pqc_client_6;49.68%;112.8MiB / 7.751GiB;1.42%;22.6MB / 5.76MB;3.68MB / 57.4MB;210
2026-05-15T11:01:22Z;pqc_server;0.93%;9.078MiB / 7.751GiB;0.11%;34.6MB / 136MB;16.8MB / 0B;2
2026-05-15T11:01:22Z;pqc_monitor;0.08%;14.85MiB / 7.751GiB;0.19%;171MB / 171MB;15.4MB / 376MB;3
2026-05-15T11:01:26Z;pqc_client;21.86%;188.6MiB / 7.751GiB;2.38%;23MB / 5.85MB;15.1MB / 58MB;98
2026-05-15T11:01:26Z;pqc_client_2;18.30%;199.7MiB / 7.751GiB;2.52%;22.9MB / 5.85MB;1.09MB / 290MB;108
2026-05-15T11:01:26Z;pqc_client_3;15.25%;237.7MiB / 7.751GiB;2.99%;22.8MB / 5.85MB;532kB / 57.7MB;131
2026-05-15T11:01:26Z;pqc_client_4;10.46%;249.4MiB / 7.751GiB;3.14%;22.8MB / 5.84MB;573kB / 57.4MB;138
2026-05-15T11:01:26Z;pqc_client_5;14.75%;238MiB / 7.751GiB;3.00%;22.8MB / 5.85MB;1.04MB / 57.4MB;131
2026-05-15T11:01:26Z;pqc_client_6;11.15%;247.5MiB / 7.751GiB;3.12%;22.8MB / 5.84MB;3.69MB / 57.6MB;136
2026-05-15T11:01:26Z;pqc_server;49.81%;9.082MiB / 7.751GiB;0.11%;35.1MB / 137MB;16.8MB / 0B;2
2026-05-15T11:01:26Z;pqc_monitor;1.27%;14.92MiB / 7.751GiB;0.19%;171MB / 171MB;15.4MB / 376MB;3
2026-05-15T11:01:30Z;pqc_client;17.12%;85.23MiB / 7.751GiB;1.07%;23.2MB / 5.88MB;15.1MB / 58MB;36
2026-05-15T11:01:30Z;pqc_client_2;4.30%;46.4MiB / 7.751GiB;0.58%;23.2MB / 5.9MB;1.09MB / 290MB;16
2026-05-15T11:01:30Z;pqc_client_3;19.19%;51.09MiB / 7.751GiB;0.64%;23.2MB / 5.9MB;532kB / 57.7MB;19
2026-05-15T11:01:30Z;pqc_client_4;24.00%;59.65MiB / 7.751GiB;0.75%;23.2MB / 5.9MB;573kB / 57.4MB;24
2026-05-15T11:01:30Z;pqc_client_5;17.88%;68.03MiB / 7.751GiB;0.86%;23.2MB / 5.9MB;1.04MB / 57.4MB;29
2026-05-15T11:01:30Z;pqc_client_6;18.90%;84.38MiB / 7.751GiB;1.06%;23.1MB / 5.89MB;3.69MB / 57.6MB;38
2026-05-15T11:01:30Z;pqc_server;50.73%;9.086MiB / 7.751GiB;0.11%;35.4MB / 139MB;16.8MB / 0B;2
2026-05-15T11:01:30Z;pqc_monitor;0.79%;15.02MiB / 7.751GiB;0.19%;175MB / 175MB;15.4MB / 376MB;3
2026-05-15T11:01:33Z;pqc_client;0.00%;28.31MiB / 7.751GiB;0.36%;23.3MB / 5.9MB;15.1MB / 58.9MB;1
2026-05-15T11:01:33Z;pqc_client_2;0.00%;22.79MiB / 7.751GiB;0.29%;23.3MB / 5.91MB;1.09MB / 290MB;1
2026-05-15T11:01:33Z;pqc_client_3;0.00%;22.52MiB / 7.751GiB;0.28%;23.3MB / 5.91MB;532kB / 57.7MB;1
2026-05-15T11:01:33Z;pqc_client_4;0.00%;22.57MiB / 7.751GiB;0.28%;23.3MB / 5.91MB;573kB / 57.4MB;1
2026-05-15T11:01:33Z;pqc_client_5;0.00%;22.74MiB / 7.751GiB;0.29%;23.2MB / 5.91MB;1.04MB / 57.4MB;1
2026-05-15T11:01:33Z;pqc_client_6;0.00%;24.03MiB / 7.751GiB;0.30%;23.2MB / 5.91MB;3.69MB / 57.6MB;1
2026-05-15T11:01:33Z;pqc_server;0.00%;9.074MiB / 7.751GiB;0.11%;35.4MB / 140MB;16.8MB / 0B;2
2026-05-15T11:01:33Z;pqc_monitor;0.04%;15.04MiB / 7.751GiB;0.19%;175MB / 175MB;15.4MB / 376MB;3
2026-05-15T11:01:37Z;pqc_client;0.00%;28.31MiB / 7.751GiB;0.36%;23.3MB / 5.9MB;15.1MB / 58.9MB;1
