timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-15T11:59:35Z;pqc_client;0.00%;57.01MiB / 7.751GiB;0.72%;40.8MB / 10.1MB;15.4MB / 102MB;1
2026-05-15T11:59:35Z;pqc_client_2;0.00%;51.5MiB / 7.751GiB;0.65%;40.7MB / 10.1MB;1.43MB / 673MB;1
2026-05-15T11:59:35Z;pqc_client_3;0.00%;51.16MiB / 7.751GiB;0.64%;40.7MB / 10.1MB;606kB / 102MB;1
2026-05-15T11:59:35Z;pqc_client_4;0.00%;51.38MiB / 7.751GiB;0.65%;40.7MB / 10.1MB;606kB / 102MB;1
2026-05-15T11:59:35Z;pqc_client_5;0.00%;51.51MiB / 7.751GiB;0.65%;40.7MB / 10.1MB;1.08MB / 102MB;1
2026-05-15T11:59:35Z;pqc_client_6;0.00%;52.75MiB / 7.751GiB;0.66%;40.7MB / 10.1MB;3.75MB / 102MB;1
2026-05-15T11:59:35Z;pqc_server;0.00%;9.074MiB / 7.751GiB;0.11%;60.5MB / 244MB;16.8MB / 0B;2
2026-05-15T11:59:35Z;pqc_monitor;0.03%;19.44MiB / 7.751GiB;0.24%;305MB / 305MB;15.4MB / 681MB;3
2026-05-15T11:59:38Z;pqc_client;0.00%;57.01MiB / 7.751GiB;0.72%;40.8MB / 10.1MB;15.4MB / 102MB;1
2026-05-15T11:59:38Z;pqc_client_2;0.00%;51.5MiB / 7.751GiB;0.65%;40.7MB / 10.1MB;1.43MB / 673MB;1
2026-05-15T11:59:38Z;pqc_client_3;0.00%;51.16MiB / 7.751GiB;0.64%;40.7MB / 10.1MB;606kB / 102MB;1
2026-05-15T11:59:38Z;pqc_client_4;0.00%;51.38MiB / 7.751GiB;0.65%;40.7MB / 10.1MB;606kB / 102MB;1
2026-05-15T11:59:38Z;pqc_client_5;0.00%;51.51MiB / 7.751GiB;0.65%;40.7MB / 10.1MB;1.08MB / 102MB;1
2026-05-15T11:59:38Z;pqc_client_6;0.00%;52.75MiB / 7.751GiB;0.66%;40.7MB / 10.1MB;3.75MB / 102MB;1
2026-05-15T11:59:38Z;pqc_server;0.00%;9.074MiB / 7.751GiB;0.11%;60.5MB / 244MB;16.8MB / 0B;2
2026-05-15T11:59:38Z;pqc_monitor;0.04%;19.44MiB / 7.751GiB;0.24%;305MB / 305MB;15.4MB / 681MB;3
2026-05-15T11:59:42Z;pqc_client;83.47%;191.4MiB / 7.751GiB;2.41%;40.8MB / 10.1MB;15.4MB / 102MB;235
2026-05-15T11:59:42Z;pqc_client_2;91.39%;237.5MiB / 7.751GiB;2.99%;40.7MB / 10.1MB;1.44MB / 673MB;224
2026-05-15T11:59:42Z;pqc_client_3;77.40%;207.3MiB / 7.751GiB;2.61%;40.7MB / 10.1MB;606kB / 102MB;256
2026-05-15T11:59:42Z;pqc_client_4;89.96%;219.3MiB / 7.751GiB;2.76%;40.7MB / 10.1MB;606kB / 102MB;235
2026-05-15T11:59:42Z;pqc_client_5;92.17%;216.5MiB / 7.751GiB;2.73%;40.7MB / 10.1MB;1.08MB / 102MB;240
2026-05-15T11:59:42Z;pqc_client_6;88.35%;202.3MiB / 7.751GiB;2.55%;40.7MB / 10.1MB;3.75MB / 102MB;239
2026-05-15T11:59:42Z;pqc_server;2.09%;9.078MiB / 7.751GiB;0.11%;60.7MB / 244MB;16.8MB / 0B;2
2026-05-15T11:59:42Z;pqc_monitor;0.71%;19.49MiB / 7.751GiB;0.25%;305MB / 305MB;15.4MB / 681MB;3
2026-05-15T11:59:46Z;pqc_client;1.77%;294.8MiB / 7.751GiB;3.71%;40.9MB / 10.2MB;15.4MB / 102MB;144
2026-05-15T11:59:46Z;pqc_client_2;2.31%;311.1MiB / 7.751GiB;3.92%;40.8MB / 10.2MB;1.45MB / 675MB;157
2026-05-15T11:59:46Z;pqc_client_3;1.03%;317.3MiB / 7.751GiB;4.00%;40.8MB / 10.2MB;606kB / 102MB;161
2026-05-15T11:59:46Z;pqc_client_4;0.62%;322.6MiB / 7.751GiB;4.06%;40.8MB / 10.2MB;606kB / 102MB;164
2026-05-15T11:59:46Z;pqc_client_5;2.56%;317.7MiB / 7.751GiB;4.00%;40.8MB / 10.2MB;1.08MB / 102MB;161
2026-05-15T11:59:46Z;pqc_client_6;1.59%;322.3MiB / 7.751GiB;4.06%;40.7MB / 10.2MB;3.75MB / 102MB;163
2026-05-15T11:59:46Z;pqc_server;4.22%;9.082MiB / 7.751GiB;0.11%;61MB / 245MB;16.8MB / 0B;2
2026-05-15T11:59:46Z;pqc_monitor;0.40%;19.51MiB / 7.751GiB;0.25%;306MB / 306MB;15.4MB / 681MB;3
2026-05-15T11:59:50Z;pqc_client;1.27%;268.2MiB / 7.751GiB;3.38%;40.9MB / 10.2MB;15.4MB / 102MB;128
2026-05-15T11:59:50Z;pqc_client_2;0.79%;297.8MiB / 7.751GiB;3.75%;40.8MB / 10.2MB;1.45MB / 675MB;149
2026-05-15T11:59:50Z;pqc_client_3;3.64%;292.4MiB / 7.751GiB;3.68%;40.8MB / 10.2MB;606kB / 102MB;146
2026-05-15T11:59:50Z;pqc_client_4;0.00%;314.2MiB / 7.751GiB;3.96%;40.8MB / 10.2MB;606kB / 102MB;159
2026-05-15T11:59:50Z;pqc_client_5;2.21%;297.7MiB / 7.751GiB;3.75%;40.8MB / 10.2MB;1.08MB / 102MB;149
2026-05-15T11:59:50Z;pqc_client_6;1.48%;314MiB / 7.751GiB;3.96%;40.8MB / 10.2MB;3.75MB / 102MB;158
2026-05-15T11:59:50Z;pqc_server;4.35%;9.086MiB / 7.751GiB;0.11%;61MB / 245MB;16.8MB / 0B;2
2026-05-15T11:59:50Z;pqc_monitor;0.32%;19.54MiB / 7.751GiB;0.25%;306MB / 306MB;15.4MB / 681MB;3
2026-05-15T11:59:54Z;pqc_client;1.20%;254.8MiB / 7.751GiB;3.21%;41MB / 10.2MB;15.4MB / 102MB;120
2026-05-15T11:59:54Z;pqc_client_2;2.78%;261.2MiB / 7.751GiB;3.29%;40.9MB / 10.2MB;1.45MB / 675MB;127
2026-05-15T11:59:54Z;pqc_client_3;2.07%;265.7MiB / 7.751GiB;3.35%;40.9MB / 10.2MB;606kB / 102MB;130
2026-05-15T11:59:54Z;pqc_client_4;1.64%;295.9MiB / 7.751GiB;3.73%;40.8MB / 10.2MB;606kB / 102MB;148
2026-05-15T11:59:54Z;pqc_client_5;1.49%;289.3MiB / 7.751GiB;3.65%;40.8MB / 10.2MB;1.08MB / 102MB;144
2026-05-15T11:59:54Z;pqc_client_6;1.69%;299MiB / 7.751GiB;3.77%;40.8MB / 10.2MB;3.75MB / 102MB;149
2026-05-15T11:59:54Z;pqc_server;4.17%;9.078MiB / 7.751GiB;0.11%;61MB / 245MB;16.8MB / 0B;2
2026-05-15T11:59:54Z;pqc_monitor;0.25%;19.53MiB / 7.751GiB;0.25%;306MB / 306MB;15.4MB / 681MB;3
2026-05-15T11:59:58Z;pqc_client;0.36%;231.5MiB / 7.751GiB;2.92%;41MB / 10.2MB;15.4MB / 102MB;106
2026-05-15T11:59:58Z;pqc_client_2;0.61%;247.9MiB / 7.751GiB;3.12%;40.9MB / 10.2MB;1.45MB / 675MB;119
2026-05-15T11:59:58Z;pqc_client_3;0.89%;249.1MiB / 7.751GiB;3.14%;40.9MB / 10.2MB;606kB / 102MB;120
2026-05-15T11:59:58Z;pqc_client_4;1.03%;285.9MiB / 7.751GiB;3.60%;40.8MB / 10.2MB;606kB / 102MB;142
2026-05-15T11:59:58Z;pqc_client_5;1.11%;276MiB / 7.751GiB;3.48%;40.8MB / 10.2MB;1.08MB / 102MB;136
2026-05-15T11:59:58Z;pqc_client_6;2.29%;279MiB / 7.751GiB;3.51%;40.8MB / 10.2MB;3.75MB / 102MB;137
2026-05-15T11:59:58Z;pqc_server;4.44%;9.203MiB / 7.751GiB;0.12%;61MB / 245MB;16.8MB / 0B;2
2026-05-15T11:59:58Z;pqc_monitor;0.29%;19.54MiB / 7.751GiB;0.25%;306MB / 306MB;15.4MB / 681MB;3
2026-05-15T12:00:02Z;pqc_client;3.65%;206.5MiB / 7.751GiB;2.60%;41.1MB / 10.2MB;15.4MB / 102MB;91
2026-05-15T12:00:02Z;pqc_client_2;0.55%;216.2MiB / 7.751GiB;2.72%;41MB / 10.2MB;1.45MB / 675MB;100
2026-05-15T12:00:02Z;pqc_client_3;1.09%;242.5MiB / 7.751GiB;3.06%;40.9MB / 10.2MB;606kB / 102MB;116
2026-05-15T12:00:02Z;pqc_client_4;0.00%;275.9MiB / 7.751GiB;3.48%;40.9MB / 10.2MB;606kB / 102MB;136
2026-05-15T12:00:02Z;pqc_client_5;0.51%;264.3MiB / 7.751GiB;3.33%;40.9MB / 10.2MB;1.08MB / 102MB;129
2026-05-15T12:00:02Z;pqc_client_6;2.37%;255.6MiB / 7.751GiB;3.22%;40.9MB / 10.2MB;3.75MB / 102MB;123
2026-05-15T12:00:02Z;pqc_server;4.34%;9.086MiB / 7.751GiB;0.11%;61.1MB / 246MB;16.8MB / 0B;2
2026-05-15T12:00:02Z;pqc_monitor;0.19%;19.55MiB / 7.751GiB;0.25%;307MB / 307MB;15.4MB / 685MB;3
2026-05-15T12:00:06Z;pqc_client;1.35%;184.9MiB / 7.751GiB;2.33%;41.1MB / 10.2MB;15.4MB / 103MB;78
2026-05-15T12:00:06Z;pqc_client_2;1.15%;199.5MiB / 7.751GiB;2.51%;41MB / 10.2MB;1.45MB / 675MB;90
2026-05-15T12:00:06Z;pqc_client_3;1.83%;224.1MiB / 7.751GiB;2.82%;41MB / 10.2MB;606kB / 102MB;105
2026-05-15T12:00:06Z;pqc_client_4;3.48%;252.6MiB / 7.751GiB;3.18%;40.9MB / 10.2MB;606kB / 102MB;122
2026-05-15T12:00:06Z;pqc_client_5;0.49%;246MiB / 7.751GiB;3.10%;40.9MB / 10.2MB;1.08MB / 102MB;118
2026-05-15T12:00:06Z;pqc_client_6;1.70%;235.6MiB / 7.751GiB;2.97%;40.9MB / 10.2MB;3.75MB / 102MB;111
2026-05-15T12:00:06Z;pqc_server;4.60%;9.086MiB / 7.751GiB;0.11%;61.1MB / 246MB;16.8MB / 0B;2
2026-05-15T12:00:06Z;pqc_monitor;0.22%;19.57MiB / 7.751GiB;0.25%;307MB / 307MB;15.4MB / 685MB;3
2026-05-15T12:00:10Z;pqc_client;0.00%;184.9MiB / 7.751GiB;2.33%;41.1MB / 10.2MB;15.4MB / 103MB;78
2026-05-15T12:00:10Z;pqc_client_2;2.07%;191.2MiB / 7.751GiB;2.41%;41MB / 10.2MB;1.45MB / 675MB;85
2026-05-15T12:00:10Z;pqc_client_3;2.82%;202.4MiB / 7.751GiB;2.55%;41MB / 10.2MB;606kB / 102MB;92
2026-05-15T12:00:10Z;pqc_client_4;0.00%;235.9MiB / 7.751GiB;2.97%;40.9MB / 10.2MB;606kB / 102MB;112
2026-05-15T12:00:10Z;pqc_client_5;3.41%;224.4MiB / 7.751GiB;2.83%;41MB / 10.2MB;1.08MB / 102MB;105
2026-05-15T12:00:10Z;pqc_client_6;0.60%;224MiB / 7.751GiB;2.82%;40.9MB / 10.2MB;3.75MB / 102MB;104
2026-05-15T12:00:10Z;pqc_server;4.70%;9.09MiB / 7.751GiB;0.11%;61.1MB / 246MB;16.8MB / 0B;2
2026-05-15T12:00:10Z;pqc_monitor;0.25%;19.56MiB / 7.751GiB;0.25%;307MB / 307MB;15.4MB / 685MB;3
2026-05-15T12:00:14Z;pqc_client;0.00%;181.5MiB / 7.751GiB;2.29%;41.1MB / 10.2MB;15.4MB / 103MB;76
2026-05-15T12:00:14Z;pqc_client_2;1.50%;176.2MiB / 7.751GiB;2.22%;41.1MB / 10.2MB;1.45MB / 675MB;76
2026-05-15T12:00:14Z;pqc_client_3;0.00%;184.1MiB / 7.751GiB;2.32%;41MB / 10.2MB;606kB / 102MB;81
2026-05-15T12:00:14Z;pqc_client_4;4.83%;197.5MiB / 7.751GiB;2.49%;41MB / 10.2MB;606kB / 102MB;89
2026-05-15T12:00:14Z;pqc_client_5;2.86%;171.1MiB / 7.751GiB;2.16%;41.1MB / 10.2MB;1.08MB / 102MB;73
2026-05-15T12:00:14Z;pqc_client_6;1.18%;214MiB / 7.751GiB;2.70%;41MB / 10.2MB;3.75MB / 102MB;98
2026-05-15T12:00:14Z;pqc_server;5.18%;9.086MiB / 7.751GiB;0.11%;61.2MB / 246MB;16.8MB / 0B;2
2026-05-15T12:00:14Z;pqc_monitor;0.26%;19.57MiB / 7.751GiB;0.25%;307MB / 307MB;15.4MB / 685MB;3
2026-05-15T12:00:17Z;pqc_client;0.00%;179.9MiB / 7.751GiB;2.27%;41.1MB / 10.2MB;15.4MB / 103MB;75
2026-05-15T12:00:17Z;pqc_client_2;5.25%;136.2MiB / 7.751GiB;1.72%;41.2MB / 10.2MB;1.45MB / 675MB;52
2026-05-15T12:00:17Z;pqc_client_3;0.00%;175.7MiB / 7.751GiB;2.21%;41.1MB / 10.2MB;606kB / 102MB;76
2026-05-15T12:00:17Z;pqc_client_4;2.01%;162.6MiB / 7.751GiB;2.05%;41.1MB / 10.2MB;606kB / 103MB;68
2026-05-15T12:00:17Z;pqc_client_5;0.57%;166.1MiB / 7.751GiB;2.09%;41.1MB / 10.2MB;1.08MB / 102MB;70
2026-05-15T12:00:17Z;pqc_client_6;2.68%;195.6MiB / 7.751GiB;2.46%;41MB / 10.2MB;3.75MB / 102MB;87
2026-05-15T12:00:17Z;pqc_server;4.56%;9.086MiB / 7.751GiB;0.11%;61.2MB / 246MB;16.8MB / 0B;2
2026-05-15T12:00:17Z;pqc_monitor;0.20%;19.58MiB / 7.751GiB;0.25%;308MB / 308MB;15.4MB / 685MB;3
2026-05-15T12:00:21Z;pqc_client;0.00%;173.2MiB / 7.751GiB;2.18%;41.1MB / 10.2MB;15.4MB / 103MB;71
2026-05-15T12:00:21Z;pqc_client_2;0.52%;112.8MiB / 7.751GiB;1.42%;41.2MB / 10.2MB;1.45MB / 685MB;38
2026-05-15T12:00:21Z;pqc_client_3;1.46%;167.4MiB / 7.751GiB;2.11%;41.1MB / 10.2MB;606kB / 102MB;71
2026-05-15T12:00:21Z;pqc_client_4;3.48%;140.9MiB / 7.751GiB;1.78%;41.1MB / 10.2MB;606kB / 103MB;55
2026-05-15T12:00:21Z;pqc_client_5;0.19%;157.8MiB / 7.751GiB;1.99%;41.1MB / 10.2MB;1.08MB / 102MB;65
2026-05-15T12:00:21Z;pqc_client_6;3.16%;170.7MiB / 7.751GiB;2.15%;41.1MB / 10.2MB;3.75MB / 102MB;72
2026-05-15T12:00:21Z;pqc_server;4.49%;9.09MiB / 7.751GiB;0.11%;61.2MB / 247MB;16.8MB / 0B;2
2026-05-15T12:00:21Z;pqc_monitor;0.21%;19.59MiB / 7.751GiB;0.25%;308MB / 308MB;15.4MB / 685MB;3
2026-05-15T12:00:25Z;pqc_client;1.66%;156.6MiB / 7.751GiB;1.97%;41.2MB / 10.2MB;15.4MB / 103MB;61
2026-05-15T12:00:25Z;pqc_client_2;1.67%;99.54MiB / 7.751GiB;1.25%;41.2MB / 10.2MB;1.45MB / 685MB;30
2026-05-15T12:00:25Z;pqc_client_3;1.51%;150.8MiB / 7.751GiB;1.90%;41.1MB / 10.2MB;606kB / 102MB;61
