timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-17T13:49:33Z;pqc_client;0.00%;76.63MiB / 7.751GiB;0.97%;45.8MB / 12MB;6.26MB / 124MB;1
2026-05-17T13:49:33Z;pqc_client_2;0.00%;74.55MiB / 7.751GiB;0.94%;45.7MB / 12MB;639kB / 124MB;1
2026-05-17T13:49:33Z;pqc_client_3;0.00%;74.14MiB / 7.751GiB;0.93%;45.1MB / 11.7MB;1.63MB / 121MB;1
2026-05-17T13:49:33Z;pqc_client_4;0.00%;73.2MiB / 7.751GiB;0.92%;45.1MB / 11.7MB;98.3kB / 121MB;1
2026-05-17T13:49:33Z;pqc_client_5;0.00%;73.5MiB / 7.751GiB;0.93%;45.1MB / 11.7MB;672kB / 121MB;1
2026-05-17T13:49:33Z;pqc_client_6;0.00%;77.86MiB / 7.751GiB;0.98%;45.1MB / 11.7MB;10.3MB / 121MB;1
2026-05-17T13:49:33Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;70.8MB / 272MB;15.6MB / 0B;2
2026-05-17T13:49:33Z;pqc_monitor;0.05%;20.91MiB / 7.751GiB;0.26%;343MB / 343MB;15.2MB / 787MB;2
2026-05-17T13:49:37Z;pqc_client;0.00%;76.63MiB / 7.751GiB;0.97%;45.8MB / 12MB;6.26MB / 124MB;1
2026-05-17T13:49:37Z;pqc_client_2;0.00%;74.55MiB / 7.751GiB;0.94%;45.7MB / 12MB;639kB / 124MB;1
2026-05-17T13:49:37Z;pqc_client_3;0.00%;74.14MiB / 7.751GiB;0.93%;45.1MB / 11.7MB;1.63MB / 121MB;1
2026-05-17T13:49:37Z;pqc_client_4;0.00%;73.2MiB / 7.751GiB;0.92%;45.1MB / 11.7MB;98.3kB / 121MB;1
2026-05-17T13:49:37Z;pqc_client_5;0.00%;73.5MiB / 7.751GiB;0.93%;45.1MB / 11.7MB;672kB / 121MB;1
2026-05-17T13:49:37Z;pqc_client_6;0.00%;77.86MiB / 7.751GiB;0.98%;45.1MB / 11.7MB;10.3MB / 121MB;1
2026-05-17T13:49:37Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;70.8MB / 272MB;15.6MB / 0B;2
2026-05-17T13:49:37Z;pqc_monitor;0.03%;20.91MiB / 7.751GiB;0.26%;343MB / 343MB;15.2MB / 787MB;2
2026-05-17T13:49:41Z;pqc_client;73.11%;301MiB / 7.751GiB;3.79%;45.8MB / 12MB;6.26MB / 124MB;182
2026-05-17T13:49:41Z;pqc_client_2;102.37%;327.5MiB / 7.751GiB;4.13%;45.8MB / 12MB;639kB / 124MB;186
2026-05-17T13:49:41Z;pqc_client_3;13.06%;196.5MiB / 7.751GiB;2.48%;45.1MB / 11.8MB;1.63MB / 121MB;103
2026-05-17T13:49:41Z;pqc_client_4;106.04%;313.8MiB / 7.751GiB;3.95%;45.1MB / 11.8MB;98.3kB / 121MB;192
2026-05-17T13:49:41Z;pqc_client_5;105.65%;301.8MiB / 7.751GiB;3.80%;45.1MB / 11.8MB;672kB / 121MB;194
2026-05-17T13:49:41Z;pqc_client_6;101.75%;303.1MiB / 7.751GiB;3.82%;45.1MB / 11.8MB;10.3MB / 121MB;204
2026-05-17T13:49:41Z;pqc_server;0.27%;8.629MiB / 7.751GiB;0.11%;71MB / 272MB;15.6MB / 0B;2
2026-05-17T13:49:41Z;pqc_monitor;0.31%;20.93MiB / 7.751GiB;0.26%;343MB / 343MB;15.2MB / 787MB;2
2026-05-17T13:49:45Z;pqc_client;2.02%;321.1MiB / 7.751GiB;4.04%;45.9MB / 12.1MB;6.26MB / 124MB;148
2026-05-17T13:49:45Z;pqc_client_2;0.87%;342.4MiB / 7.751GiB;4.31%;45.8MB / 12MB;639kB / 124MB;162
2026-05-17T13:49:45Z;pqc_client_3;0.86%;337MiB / 7.751GiB;4.25%;45.1MB / 11.8MB;1.63MB / 122MB;159
2026-05-17T13:49:45Z;pqc_client_4;3.44%;314.3MiB / 7.751GiB;3.96%;45.2MB / 11.8MB;98.3kB / 121MB;146
2026-05-17T13:49:45Z;pqc_client_5;1.09%;344.7MiB / 7.751GiB;4.34%;45.1MB / 11.8MB;672kB / 121MB;164
2026-05-17T13:49:45Z;pqc_client_6;1.01%;349MiB / 7.751GiB;4.40%;45.1MB / 11.8MB;10.3MB / 121MB;164
2026-05-17T13:49:45Z;pqc_server;3.93%;8.758MiB / 7.751GiB;0.11%;71.2MB / 272MB;15.6MB / 0B;2
2026-05-17T13:49:45Z;pqc_monitor;0.15%;20.98MiB / 7.751GiB;0.26%;344MB / 343MB;15.2MB / 787MB;2
2026-05-17T13:49:49Z;pqc_client;2.69%;297.7MiB / 7.751GiB;3.75%;45.9MB / 12.1MB;6.26MB / 124MB;134
2026-05-17T13:49:49Z;pqc_client_2;1.02%;329.1MiB / 7.751GiB;4.15%;45.8MB / 12MB;639kB / 124MB;154
2026-05-17T13:49:49Z;pqc_client_3;2.16%;312MiB / 7.751GiB;3.93%;45.2MB / 11.8MB;1.63MB / 122MB;144
2026-05-17T13:49:49Z;pqc_client_4;0.42%;302.7MiB / 7.751GiB;3.81%;45.2MB / 11.8MB;98.3kB / 121MB;139
2026-05-17T13:49:49Z;pqc_client_5;0.97%;333MiB / 7.751GiB;4.20%;45.1MB / 11.8MB;672kB / 121MB;157
2026-05-17T13:49:49Z;pqc_client_6;1.95%;327.3MiB / 7.751GiB;4.12%;45.1MB / 11.8MB;10.3MB / 121MB;151
2026-05-17T13:49:49Z;pqc_server;4.03%;8.641MiB / 7.751GiB;0.11%;71.3MB / 273MB;15.6MB / 0B;2
2026-05-17T13:49:49Z;pqc_monitor;0.16%;20.99MiB / 7.751GiB;0.26%;344MB / 344MB;15.2MB / 787MB;2
2026-05-17T13:49:53Z;pqc_client;1.86%;276.2MiB / 7.751GiB;3.48%;45.9MB / 12.1MB;6.26MB / 124MB;121
2026-05-17T13:49:53Z;pqc_client_2;2.50%;309.1MiB / 7.751GiB;3.89%;45.9MB / 12.1MB;639kB / 124MB;142
2026-05-17T13:49:53Z;pqc_client_3;0.00%;290.3MiB / 7.751GiB;3.66%;45.2MB / 11.8MB;1.63MB / 122MB;131
2026-05-17T13:49:53Z;pqc_client_4;0.69%;295.9MiB / 7.751GiB;3.73%;45.2MB / 11.8MB;98.3kB / 121MB;135
2026-05-17T13:49:53Z;pqc_client_5;2.24%;314.7MiB / 7.751GiB;3.96%;45.2MB / 11.8MB;672kB / 121MB;146
2026-05-17T13:49:53Z;pqc_client_6;2.17%;310.7MiB / 7.751GiB;3.91%;45.2MB / 11.8MB;10.3MB / 121MB;141
2026-05-17T13:49:53Z;pqc_server;3.89%;8.641MiB / 7.751GiB;0.11%;71.3MB / 273MB;15.6MB / 0B;2
2026-05-17T13:49:53Z;pqc_monitor;0.18%;20.99MiB / 7.751GiB;0.26%;344MB / 344MB;15.2MB / 787MB;2
2026-05-17T13:49:57Z;pqc_client;5.52%;232.8MiB / 7.751GiB;2.93%;46MB / 12.1MB;6.26MB / 124MB;95
2026-05-17T13:49:57Z;pqc_client_2;0.00%;295.8MiB / 7.751GiB;3.73%;45.9MB / 12.1MB;639kB / 124MB;134
2026-05-17T13:49:57Z;pqc_client_3;0.00%;290.3MiB / 7.751GiB;3.66%;45.2MB / 11.8MB;1.63MB / 122MB;131
2026-05-17T13:49:57Z;pqc_client_4;0.53%;279.4MiB / 7.751GiB;3.52%;45.2MB / 11.8MB;98.3kB / 121MB;125
2026-05-17T13:49:57Z;pqc_client_5;0.45%;299.7MiB / 7.751GiB;3.78%;45.2MB / 11.8MB;672kB / 121MB;137
2026-05-17T13:49:57Z;pqc_client_6;2.17%;290.7MiB / 7.751GiB;3.66%;45.2MB / 11.8MB;10.3MB / 121MB;129
2026-05-17T13:49:57Z;pqc_server;3.97%;8.641MiB / 7.751GiB;0.11%;71.3MB / 273MB;15.6MB / 0B;2
2026-05-17T13:49:57Z;pqc_monitor;0.17%;21MiB / 7.751GiB;0.26%;345MB / 344MB;15.2MB / 787MB;2
2026-05-17T13:50:00Z;pqc_client;2.44%;209.5MiB / 7.751GiB;2.64%;46.1MB / 12.1MB;6.26MB / 124MB;81
2026-05-17T13:50:00Z;pqc_client_2;0.71%;272.5MiB / 7.751GiB;3.43%;45.9MB / 12.1MB;639kB / 124MB;120
2026-05-17T13:50:00Z;pqc_client_3;1.15%;287.1MiB / 7.751GiB;3.62%;45.2MB / 11.8MB;1.63MB / 122MB;129
2026-05-17T13:50:00Z;pqc_client_4;1.43%;262.7MiB / 7.751GiB;3.31%;45.3MB / 11.8MB;98.3kB / 121MB;115
2026-05-17T13:50:00Z;pqc_client_5;1.48%;286.4MiB / 7.751GiB;3.61%;45.2MB / 11.8MB;672kB / 121MB;129
2026-05-17T13:50:00Z;pqc_client_6;0.52%;277.3MiB / 7.751GiB;3.49%;45.2MB / 11.8MB;10.3MB / 121MB;121
