timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-15T12:10:12Z;pqc_client;0.00%;61.91MiB / 7.751GiB;0.78%;43.8MB / 10.8MB;15.6MB / 109MB;1
2026-05-15T12:10:12Z;pqc_client_2;0.00%;56.64MiB / 7.751GiB;0.71%;43.7MB / 10.8MB;2.24MB / 748MB;1
2026-05-15T12:10:12Z;pqc_client_3;0.00%;56.12MiB / 7.751GiB;0.71%;43.7MB / 10.8MB;1.12MB / 109MB;1
2026-05-15T12:10:12Z;pqc_client_4;0.00%;56.07MiB / 7.751GiB;0.71%;43.7MB / 10.8MB;606kB / 109MB;1
2026-05-15T12:10:12Z;pqc_client_5;0.00%;56.43MiB / 7.751GiB;0.71%;43.7MB / 10.8MB;1.34MB / 109MB;1
2026-05-15T12:10:12Z;pqc_client_6;0.00%;57.71MiB / 7.751GiB;0.73%;43.7MB / 10.8MB;4.28MB / 109MB;1
2026-05-15T12:10:12Z;pqc_server;0.00%;9.074MiB / 7.751GiB;0.11%;64.8MB / 262MB;16.8MB / 0B;2
2026-05-15T12:10:12Z;pqc_monitor;0.05%;20.18MiB / 7.751GiB;0.25%;327MB / 327MB;15.4MB / 732MB;3
2026-05-15T12:10:16Z;pqc_client;0.00%;61.91MiB / 7.751GiB;0.78%;43.8MB / 10.8MB;15.6MB / 109MB;1
2026-05-15T12:10:16Z;pqc_client_2;0.00%;56.64MiB / 7.751GiB;0.71%;43.7MB / 10.8MB;2.24MB / 748MB;1
2026-05-15T12:10:16Z;pqc_client_3;0.00%;56.12MiB / 7.751GiB;0.71%;43.7MB / 10.8MB;1.12MB / 109MB;1
2026-05-15T12:10:16Z;pqc_client_4;0.00%;56.07MiB / 7.751GiB;0.71%;43.7MB / 10.8MB;606kB / 109MB;1
2026-05-15T12:10:16Z;pqc_client_5;0.00%;56.43MiB / 7.751GiB;0.71%;43.7MB / 10.8MB;1.34MB / 109MB;1
2026-05-15T12:10:16Z;pqc_client_6;0.00%;57.71MiB / 7.751GiB;0.73%;43.7MB / 10.8MB;4.28MB / 109MB;1
2026-05-15T12:10:16Z;pqc_server;0.00%;9.074MiB / 7.751GiB;0.11%;64.8MB / 262MB;16.8MB / 0B;2
2026-05-15T12:10:16Z;pqc_monitor;0.07%;20.18MiB / 7.751GiB;0.25%;327MB / 327MB;15.4MB / 732MB;3
2026-05-15T12:10:20Z;pqc_client;83.21%;260.6MiB / 7.751GiB;3.28%;43.8MB / 10.8MB;15.6MB / 109MB;206
2026-05-15T12:10:20Z;pqc_client_2;81.82%;239.3MiB / 7.751GiB;3.01%;43.8MB / 10.8MB;2.24MB / 748MB;221
2026-05-15T12:10:20Z;pqc_client_3;76.89%;236.7MiB / 7.751GiB;2.98%;43.7MB / 10.8MB;1.38MB / 109MB;231
2026-05-15T12:10:20Z;pqc_client_4;79.08%;232.1MiB / 7.751GiB;2.92%;43.7MB / 10.8MB;606kB / 109MB;238
