timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-15T12:30:16Z;pqc_client;0.00%;70.98MiB / 7.751GiB;0.89%;49.2MB / 12.1MB;17.7MB / 123MB;1
2026-05-15T12:30:16Z;pqc_client_2;0.00%;65.27MiB / 7.751GiB;0.82%;49.2MB / 12.1MB;3.28MB / 791MB;1
2026-05-15T12:30:16Z;pqc_client_3;0.00%;65.16MiB / 7.751GiB;0.82%;49.2MB / 12.1MB;3.22MB / 123MB;1
2026-05-15T12:30:16Z;pqc_client_4;0.00%;64.96MiB / 7.751GiB;0.82%;49.1MB / 12.1MB;2.44MB / 123MB;1
2026-05-15T12:30:16Z;pqc_client_5;0.00%;65.73MiB / 7.751GiB;0.83%;49.1MB / 12.1MB;3.95MB / 126MB;1
2026-05-15T12:30:16Z;pqc_client_6;0.00%;67.01MiB / 7.751GiB;0.84%;49.1MB / 12.1MB;6.81MB / 183MB;1
2026-05-15T12:30:16Z;pqc_server;0.00%;9.074MiB / 7.751GiB;0.11%;72.6MB / 295MB;16.8MB / 32.4MB;2
2026-05-15T12:30:16Z;pqc_monitor;0.04%;21.52MiB / 7.751GiB;0.27%;368MB / 367MB;15.4MB / 823MB;3
2026-05-15T12:30:20Z;pqc_client;0.00%;70.98MiB / 7.751GiB;0.89%;49.2MB / 12.1MB;17.7MB / 123MB;1
2026-05-15T12:30:20Z;pqc_client_2;0.00%;65.27MiB / 7.751GiB;0.82%;49.2MB / 12.1MB;3.28MB / 791MB;1
2026-05-15T12:30:20Z;pqc_client_3;0.00%;65.16MiB / 7.751GiB;0.82%;49.2MB / 12.1MB;3.22MB / 123MB;1
2026-05-15T12:30:20Z;pqc_client_4;0.00%;64.96MiB / 7.751GiB;0.82%;49.1MB / 12.1MB;2.44MB / 123MB;1
2026-05-15T12:30:20Z;pqc_client_5;0.00%;65.73MiB / 7.751GiB;0.83%;49.1MB / 12.1MB;3.95MB / 126MB;1
2026-05-15T12:30:20Z;pqc_client_6;0.00%;67.01MiB / 7.751GiB;0.84%;49.1MB / 12.1MB;6.81MB / 183MB;1
2026-05-15T12:30:20Z;pqc_server;0.00%;9.074MiB / 7.751GiB;0.11%;72.6MB / 295MB;16.8MB / 32.4MB;2
