timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-16T22:37:29Z;pqc_client;0.00%;9.73MiB / 7.751GiB;0.12%;4.19MB / 1.79MB;6.21MB / 23.4MB;1
2026-05-16T22:37:29Z;pqc_client_2;2.13%;7.609MiB / 7.751GiB;0.10%;4.19MB / 1.79MB;524kB / 23.1MB;1
2026-05-16T22:37:29Z;pqc_client_3;0.00%;7.695MiB / 7.751GiB;0.10%;3.81MB / 1.63MB;1.56MB / 21.3MB;1
2026-05-16T22:37:29Z;pqc_client_4;0.00%;6.867MiB / 7.751GiB;0.09%;3.81MB / 1.62MB;0B / 20.8MB;1
2026-05-16T22:37:29Z;pqc_client_5;0.00%;7.148MiB / 7.751GiB;0.09%;3.81MB / 1.62MB;532kB / 20.6MB;1
2026-05-16T22:37:29Z;pqc_client_6;1.64%;11.45MiB / 7.751GiB;0.14%;3.81MB / 1.63MB;10.3MB / 20.5MB;1
2026-05-16T22:37:29Z;pqc_server;0.23%;8.629MiB / 7.751GiB;0.11%;10MB / 23.6MB;15.6MB / 0B;2
2026-05-16T22:37:29Z;pqc_monitor;0.13%;9.746MiB / 7.751GiB;0.12%;33.7MB / 33.6MB;15.2MB / 80.7MB;2
2026-05-16T22:37:33Z;pqc_client;0.00%;9.73MiB / 7.751GiB;0.12%;4.19MB / 1.79MB;6.21MB / 23.4MB;1
2026-05-16T22:37:33Z;pqc_client_2;0.00%;7.609MiB / 7.751GiB;0.10%;4.19MB / 1.79MB;524kB / 23.1MB;1
2026-05-16T22:37:33Z;pqc_client_3;0.00%;7.695MiB / 7.751GiB;0.10%;3.81MB / 1.63MB;1.56MB / 21.3MB;1
2026-05-16T22:37:33Z;pqc_client_4;0.00%;6.867MiB / 7.751GiB;0.09%;3.81MB / 1.62MB;0B / 20.8MB;1
2026-05-16T22:37:33Z;pqc_client_5;0.00%;7.148MiB / 7.751GiB;0.09%;3.81MB / 1.62MB;532kB / 20.6MB;1
2026-05-16T22:37:33Z;pqc_client_6;0.00%;11.45MiB / 7.751GiB;0.14%;3.81MB / 1.63MB;10.3MB / 20.5MB;1
2026-05-16T22:37:33Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;10MB / 23.6MB;15.6MB / 0B;2
2026-05-16T22:37:33Z;pqc_monitor;0.03%;9.746MiB / 7.751GiB;0.12%;33.7MB / 33.6MB;15.2MB / 80.8MB;2
2026-05-16T22:37:37Z;pqc_client;0.00%;9.73MiB / 7.751GiB;0.12%;4.19MB / 1.79MB;6.21MB / 23.4MB;1
2026-05-16T22:37:37Z;pqc_client_2;0.00%;7.609MiB / 7.751GiB;0.10%;4.19MB / 1.79MB;524kB / 23.1MB;1
2026-05-16T22:37:37Z;pqc_client_3;0.00%;7.695MiB / 7.751GiB;0.10%;3.81MB / 1.63MB;1.56MB / 21.3MB;1
2026-05-16T22:37:37Z;pqc_client_4;0.00%;6.867MiB / 7.751GiB;0.09%;3.81MB / 1.62MB;0B / 20.8MB;1
2026-05-16T22:37:37Z;pqc_client_5;0.00%;7.148MiB / 7.751GiB;0.09%;3.81MB / 1.62MB;532kB / 20.6MB;1
2026-05-16T22:37:37Z;pqc_client_6;0.00%;11.45MiB / 7.751GiB;0.14%;3.81MB / 1.63MB;10.3MB / 20.5MB;1
2026-05-16T22:37:37Z;pqc_server;0.00%;8.629MiB / 7.751GiB;0.11%;10MB / 23.6MB;15.6MB / 0B;2
2026-05-16T22:37:37Z;pqc_monitor;0.04%;9.746MiB / 7.751GiB;0.12%;33.7MB / 33.6MB;15.2MB / 80.8MB;2
