timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-10T12:11:39Z;pqc_client;32.66%;32.25MiB / 7.751GiB;0.41%;45.8kB / 60.1kB;13.2MB / 7.21MB;83
2026-05-10T12:11:39Z;pqc_client_2;20.92%;19.26MiB / 7.751GiB;0.24%;46.3kB / 60kB;2.6MB / 7.21MB;93
2026-05-10T12:11:39Z;pqc_client_3;7.18%;6.969MiB / 7.751GiB;0.09%;45.8kB / 59.8kB;3.45MB / 7.21MB;3
2026-05-10T12:11:39Z;pqc_client_4;8.74%;16.4MiB / 7.751GiB;0.21%;46.3kB / 59.8kB;12.7MB / 7.21MB;44
2026-05-10T12:11:39Z;pqc_client_5;2.59%;8.082MiB / 7.751GiB;0.10%;46.1kB / 59.7kB;270kB / 7.21MB;8
2026-05-10T12:11:39Z;pqc_client_6;0.00%;5.492MiB / 7.751GiB;0.07%;46.1kB / 59.8kB;508kB / 7.21MB;1
2026-05-10T12:11:39Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;357kB / 260kB;909kB / 0B;1
2026-05-10T12:11:39Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;621kB / 618kB;745kB / 0B;1
2026-05-10T12:11:43Z;pqc_client;0.00%;10.07MiB / 7.751GiB;0.13%;48.4kB / 63.5kB;13.2MB / 7.21MB;1
2026-05-10T12:11:43Z;pqc_client_2;0.00%;6.613MiB / 7.751GiB;0.08%;49kB / 63.6kB;2.6MB / 7.21MB;1
2026-05-10T12:11:43Z;pqc_client_3;0.00%;6.91MiB / 7.751GiB;0.09%;48.5kB / 63.5kB;3.45MB / 7.21MB;1
2026-05-10T12:11:43Z;pqc_client_4;0.00%;10.83MiB / 7.751GiB;0.14%;49kB / 63.5kB;12.7MB / 7.21MB;1
2026-05-10T12:11:43Z;pqc_client_5;0.00%;5.684MiB / 7.751GiB;0.07%;48.8kB / 63.4kB;270kB / 7.21MB;1
2026-05-10T12:11:43Z;pqc_client_6;0.00%;5.762MiB / 7.751GiB;0.07%;48.8kB / 63.5kB;508kB / 7.21MB;1
2026-05-10T12:11:43Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;379kB / 276kB;909kB / 0B;1
2026-05-10T12:11:43Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;660kB / 657kB;745kB / 0B;1
2026-05-10T12:11:47Z;pqc_client;0.00%;10.07MiB / 7.751GiB;0.13%;48.4kB / 63.5kB;13.2MB / 7.66MB;1
2026-05-10T12:11:47Z;pqc_client_2;0.00%;6.613MiB / 7.751GiB;0.08%;49kB / 63.7kB;2.6MB / 7.66MB;1
2026-05-10T12:11:47Z;pqc_client_3;DOWN;DOWN;DOWN;DOWN;DOWN;DOWN
2026-05-10T12:11:47Z;pqc_client_4;0.00%;10.83MiB / 7.751GiB;0.14%;49.1kB / 63.5kB;12.7MB / 7.66MB;1
2026-05-10T12:11:47Z;pqc_client_5;0.00%;5.684MiB / 7.751GiB;0.07%;48.8kB / 63.5kB;270kB / 7.66MB;1
2026-05-10T12:11:47Z;pqc_client_6;0.00%;5.762MiB / 7.751GiB;0.07%;48.8kB / 63.5kB;508kB / 7.66MB;1
2026-05-10T12:11:47Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;380kB / 276kB;909kB / 0B;1
2026-05-10T12:11:47Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;660kB / 657kB;745kB / 0B;1
