timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-10T12:11:02Z;pqc_client;0.00%;9.254MiB / 7.751GiB;0.12%;40.2kB / 52.3kB;13.2MB / 5.86MB;1
2026-05-10T12:11:02Z;pqc_client_2;33.03%;5.797MiB / 7.751GiB;0.07%;40.8kB / 52.4kB;2.6MB / 5.86MB;1
2026-05-10T12:11:02Z;pqc_client_3;83.98%;6.094MiB / 7.751GiB;0.08%;40.4kB / 52.3kB;3.45MB / 5.86MB;1
2026-05-10T12:11:02Z;pqc_client_4;65.15%;10.01MiB / 7.751GiB;0.13%;40.9kB / 52.3kB;12.7MB / 5.86MB;1
2026-05-10T12:11:02Z;pqc_client_5;56.28%;4.871MiB / 7.751GiB;0.06%;40.6kB / 52.3kB;270kB / 5.86MB;1
2026-05-10T12:11:02Z;pqc_client_6;84.01%;4.945MiB / 7.751GiB;0.06%;40.6kB / 52.3kB;508kB / 5.86MB;1
2026-05-10T12:11:02Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;313kB / 227kB;909kB / 0B;1
2026-05-10T12:11:02Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;519kB / 516kB;745kB / 0B;1
2026-05-10T12:11:06Z;pqc_client;0.00%;9.254MiB / 7.751GiB;0.12%;40.2kB / 52.3kB;13.2MB / 6.31MB;1
2026-05-10T12:11:06Z;pqc_client_2;0.00%;5.797MiB / 7.751GiB;0.07%;40.8kB / 52.4kB;2.6MB / 6.31MB;1
2026-05-10T12:11:06Z;pqc_client_3;0.00%;6.094MiB / 7.751GiB;0.08%;40.4kB / 52.3kB;3.45MB / 5.86MB;1
2026-05-10T12:11:06Z;pqc_client_4;0.00%;10.01MiB / 7.751GiB;0.13%;40.9kB / 52.3kB;12.7MB / 5.86MB;1
2026-05-10T12:11:06Z;pqc_client_5;0.00%;4.871MiB / 7.751GiB;0.06%;40.6kB / 52.3kB;270kB / 6.31MB;1
2026-05-10T12:11:06Z;pqc_client_6;0.00%;4.945MiB / 7.751GiB;0.06%;40.6kB / 52.3kB;508kB / 5.86MB;1
2026-05-10T12:11:06Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;313kB / 227kB;909kB / 0B;1
2026-05-10T12:11:06Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;544kB / 541kB;745kB / 0B;1
2026-05-10T12:11:10Z;pqc_client;0.00%;9.254MiB / 7.751GiB;0.12%;40.2kB / 52.3kB;13.2MB / 6.31MB;1
2026-05-10T12:11:10Z;pqc_client_2;0.00%;5.797MiB / 7.751GiB;0.07%;40.8kB / 52.4kB;2.6MB / 6.31MB;1
2026-05-10T12:11:10Z;pqc_client_3;0.00%;6.094MiB / 7.751GiB;0.08%;40.4kB / 52.3kB;3.45MB / 6.31MB;1
2026-05-10T12:11:10Z;pqc_client_4;0.00%;10.01MiB / 7.751GiB;0.13%;40.9kB / 52.3kB;12.7MB / 6.31MB;1
2026-05-10T12:11:10Z;pqc_client_5;0.00%;4.871MiB / 7.751GiB;0.06%;40.6kB / 52.3kB;270kB / 6.31MB;1
2026-05-10T12:11:10Z;pqc_client_6;0.00%;4.945MiB / 7.751GiB;0.06%;40.6kB / 52.3kB;508kB / 6.31MB;1
2026-05-10T12:11:10Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;313kB / 227kB;909kB / 0B;1
2026-05-10T12:11:10Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;544kB / 541kB;745kB / 0B;1
