run_id,mode,profile,total_conn,repeat,clients,poisson_rate,jitter_ms,pqc_client_cpu_avg,pqc_client_cpu_max,pqc_client_mem_avg,pqc_client_mem_max,pqc_server_cpu_avg,pqc_server_cpu_max,pqc_server_mem_avg,pqc_server_mem_max,pqc_monitor_cpu_avg,pqc_monitor_cpu_max,pqc_monitor_mem_avg,pqc_monitor_mem_max
connscale_classic_balanced_c300_001,classic,balanced,300,1,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",25,50,0.00,0.00,0.02,0.03,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_classic_stress_c300_001,classic,stress,300,1,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",NA,NA,14.21,42.62,0.03,0.03,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_hybrid_balanced_c300_001,hybrid,balanced,300,1,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",25,50,6.68,20.04,0.10,0.22,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_hybrid_stress_c300_001,hybrid,stress,300,1,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",NA,NA,19.53,58.60,0.04,0.04,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_classic_balanced_c300_002,classic,balanced,300,2,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",25,50,8.63,25.88,0.11,0.26,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_classic_stress_c300_002,classic,stress,300,2,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",NA,NA,16.40,49.19,0.05,0.05,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_hybrid_balanced_c300_002,hybrid,balanced,300,2,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",25,50,6.64,19.92,0.11,0.24,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_hybrid_stress_c300_002,hybrid,stress,300,2,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",NA,NA,18.49,55.46,0.05,0.05,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_classic_balanced_c300_003,classic,balanced,300,3,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",25,50,3.85,11.56,0.11,0.20,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_classic_stress_c300_003,classic,stress,300,3,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",NA,NA,15.27,45.81,0.06,0.06,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_hybrid_balanced_c300_003,hybrid,balanced,300,3,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",25,50,7.16,21.47,0.12,0.23,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_hybrid_stress_c300_003,hybrid,stress,300,3,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",NA,NA,19.03,57.09,0.07,0.07,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_classic_balanced_c300_004,classic,balanced,300,4,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",25,50,7.16,21.49,0.14,0.28,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_classic_stress_c300_004,classic,stress,300,4,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",NA,NA,11.01,33.03,0.07,0.07,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_hybrid_balanced_c300_004,hybrid,balanced,300,4,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",25,50,3.06,9.18,0.08,0.08,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
connscale_hybrid_stress_c300_004,hybrid,stress,300,4,"pqc_client,pqc_client_2,pqc_client_3,pqc_client_4,pqc_client_5,pqc_client_6",NA,NA,14.88,44.65,0.08,0.08,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02
