timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-10T12:09:37Z;pqc_client;25.18%;23.6MiB / 7.751GiB;0.30%;18.4kB / 22.6kB;13.2MB / 2.7MB;81
2026-05-10T12:09:37Z;pqc_client_2;19.92%;18.98MiB / 7.751GiB;0.24%;18.9kB / 22.5kB;2.6MB / 2.7MB;93
2026-05-10T12:09:37Z;pqc_client_3;14.51%;13.96MiB / 7.751GiB;0.18%;18.5kB / 22.5kB;3.45MB / 2.7MB;61
2026-05-10T12:09:37Z;pqc_client_4;7.01%;8.184MiB / 7.751GiB;0.10%;19kB / 22.5kB;12.7MB / 2.7MB;2
2026-05-10T12:09:37Z;pqc_client_5;2.23%;5.324MiB / 7.751GiB;0.07%;18.8kB / 22.5kB;270kB / 2.7MB;7
2026-05-10T12:09:37Z;pqc_client_6;0.00%;2.77MiB / 7.751GiB;0.03%;18.8kB / 22.5kB;508kB / 2.7MB;1
2026-05-10T12:09:37Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;135kB / 97.6kB;909kB / 0B;1
2026-05-10T12:09:37Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;235kB / 232kB;745kB / 0B;1
2026-05-10T12:09:41Z;pqc_client;0.00%;7.344MiB / 7.751GiB;0.09%;21.1kB / 26.2kB;13.2MB / 2.7MB;1
2026-05-10T12:09:41Z;pqc_client_2;0.00%;3.891MiB / 7.751GiB;0.05%;21.6kB / 26.2kB;2.6MB / 2.7MB;1
2026-05-10T12:09:41Z;pqc_client_3;0.00%;4.191MiB / 7.751GiB;0.05%;21.2kB / 26.2kB;3.45MB / 2.7MB;1
2026-05-10T12:09:41Z;pqc_client_4;0.00%;8.105MiB / 7.751GiB;0.10%;21.7kB / 26.2kB;12.7MB / 2.7MB;1
2026-05-10T12:09:41Z;pqc_client_5;0.00%;2.961MiB / 7.751GiB;0.04%;21.5kB / 26.2kB;270kB / 2.7MB;1
2026-05-10T12:09:41Z;pqc_client_6;0.00%;3.043MiB / 7.751GiB;0.04%;21.5kB / 26.2kB;508kB / 2.7MB;1
2026-05-10T12:09:41Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;157kB / 114kB;909kB / 0B;1
2026-05-10T12:09:41Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;273kB / 270kB;745kB / 0B;1
2026-05-10T12:09:45Z;pqc_client;0.00%;7.344MiB / 7.751GiB;0.09%;21.1kB / 26.3kB;13.2MB / 3.15MB;1
2026-05-10T12:09:45Z;pqc_client_2;0.00%;3.891MiB / 7.751GiB;0.05%;21.7kB / 26.3kB;2.6MB / 3.15MB;1
2026-05-10T12:09:45Z;pqc_client_3;0.00%;4.191MiB / 7.751GiB;0.05%;21.3kB / 26.3kB;3.45MB / 2.7MB;1
2026-05-10T12:09:45Z;pqc_client_4;0.00%;8.105MiB / 7.751GiB;0.10%;21.8kB / 26.3kB;12.7MB / 3.15MB;1
2026-05-10T12:09:45Z;pqc_client_5;0.00%;2.961MiB / 7.751GiB;0.04%;21.6kB / 26.2kB;270kB / 3.15MB;1
2026-05-10T12:09:45Z;pqc_client_6;0.00%;3.043MiB / 7.751GiB;0.04%;21.6kB / 26.3kB;508kB / 2.7MB;1
2026-05-10T12:09:45Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;157kB / 114kB;909kB / 0B;1
2026-05-10T12:09:45Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;274kB / 271kB;745kB / 0B;1
