timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-10T12:09:01Z;pqc_client;58.14%;6.516MiB / 7.751GiB;0.08%;12.9kB / 15.1kB;13.2MB / 1.35MB;1
2026-05-10T12:09:01Z;pqc_client_2;58.60%;3.066MiB / 7.751GiB;0.04%;13.4kB / 15.1kB;2.6MB / 1.35MB;1
2026-05-10T12:09:01Z;pqc_client_3;55.83%;3.363MiB / 7.751GiB;0.04%;13.1kB / 15.1kB;3.45MB / 451kB;1
2026-05-10T12:09:01Z;pqc_client_4;74.54%;7.289MiB / 7.751GiB;0.09%;13.5kB / 15kB;12.7MB / 1.35MB;1
2026-05-10T12:09:01Z;pqc_client_5;73.60%;2.145MiB / 7.751GiB;0.03%;13.3kB / 15kB;270kB / 451kB;1
2026-05-10T12:09:01Z;pqc_client_6;92.19%;2.227MiB / 7.751GiB;0.03%;13.3kB / 15kB;508kB / 451kB;1
2026-05-10T12:09:01Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;90.4kB / 65.1kB;909kB / 0B;1
2026-05-10T12:09:01Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;126kB / 123kB;745kB / 0B;1
2026-05-10T12:09:05Z;pqc_client;0.00%;6.516MiB / 7.751GiB;0.08%;12.9kB / 15.1kB;13.2MB / 1.8MB;1
2026-05-10T12:09:05Z;pqc_client_2;0.00%;3.066MiB / 7.751GiB;0.04%;13.5kB / 15.1kB;2.6MB / 1.8MB;1
2026-05-10T12:09:05Z;pqc_client_3;0.00%;3.363MiB / 7.751GiB;0.04%;13.1kB / 15.1kB;3.45MB / 451kB;1
2026-05-10T12:09:05Z;pqc_client_4;0.00%;7.289MiB / 7.751GiB;0.09%;13.5kB / 15kB;12.7MB / 1.35MB;1
2026-05-10T12:09:05Z;pqc_client_5;0.00%;2.145MiB / 7.751GiB;0.03%;13.3kB / 15kB;270kB / 451kB;1
2026-05-10T12:09:05Z;pqc_client_6;0.00%;2.227MiB / 7.751GiB;0.03%;13.3kB / 15kB;508kB / 451kB;1
2026-05-10T12:09:05Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;90.5kB / 65.1kB;909kB / 0B;1
2026-05-10T12:09:05Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;158kB / 155kB;745kB / 0B;1
2026-05-10T12:09:08Z;pqc_client;0.00%;6.516MiB / 7.751GiB;0.08%;12.9kB / 15.1kB;13.2MB / 1.8MB;1
2026-05-10T12:09:08Z;pqc_client_2;0.00%;3.066MiB / 7.751GiB;0.04%;13.5kB / 15.1kB;2.6MB / 1.8MB;1
2026-05-10T12:09:08Z;pqc_client_3;0.00%;3.363MiB / 7.751GiB;0.04%;13.1kB / 15.1kB;3.45MB / 623kB;1
2026-05-10T12:09:08Z;pqc_client_4;0.00%;7.289MiB / 7.751GiB;0.09%;13.5kB / 15.1kB;12.7MB / 1.8MB;1
2026-05-10T12:09:08Z;pqc_client_5;0.00%;2.145MiB / 7.751GiB;0.03%;13.4kB / 15.1kB;270kB / 582kB;1
2026-05-10T12:09:08Z;pqc_client_6;0.00%;2.227MiB / 7.751GiB;0.03%;13.4kB / 15.1kB;508kB / 655kB;1
2026-05-10T12:09:08Z;pqc_server;0.00%;1.273MiB / 7.751GiB;0.02%;90.5kB / 65.1kB;909kB / 0B;1
2026-05-10T12:09:08Z;pqc_monitor;0.00%;1.234MiB / 7.751GiB;0.02%;158kB / 155kB;745kB / 0B;1
