timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-10T15:55:35Z;pqc_client;0.00%;13.98MiB / 7.751GiB;0.18%;4.02MB / 1.36MB;13.7MB / 21.9MB;1
2026-05-10T15:55:35Z;pqc_client_2;0.00%;10.6MiB / 7.751GiB;0.13%;4.02MB / 1.36MB;3.48MB / 21.8MB;1
2026-05-10T15:55:35Z;pqc_client_3;0.00%;10.6MiB / 7.751GiB;0.13%;4.02MB / 1.36MB;3.45MB / 21.6MB;1
2026-05-10T15:55:35Z;pqc_client_4;0.00%;14.82MiB / 7.751GiB;0.19%;4.01MB / 1.36MB;12.7MB / 21.8MB;1
2026-05-10T15:55:35Z;pqc_client_5;0.00%;9.316MiB / 7.751GiB;0.12%;4.01MB / 1.36MB;270kB / 21.5MB;1
2026-05-10T15:55:35Z;pqc_client_6;0.00%;9.41MiB / 7.751GiB;0.12%;4.01MB / 1.36MB;582kB / 21.7MB;1
2026-05-10T15:55:35Z;pqc_server;0.00%;3.723MiB / 7.751GiB;0.05%;8.15MB / 24.1MB;1.83MB / 0B;2
2026-05-10T15:55:35Z;pqc_monitor;0.00%;14.71MiB / 7.751GiB;0.19%;32.2MB / 32.2MB;9.04MB / 56.9MB;3
2026-05-10T15:55:39Z;pqc_client;0.00%;13.98MiB / 7.751GiB;0.18%;4.02MB / 1.36MB;13.7MB / 21.9MB;1
2026-05-10T15:55:39Z;pqc_client_2;0.00%;10.6MiB / 7.751GiB;0.13%;4.02MB / 1.36MB;3.48MB / 21.8MB;1
2026-05-10T15:55:39Z;pqc_client_3;0.00%;10.6MiB / 7.751GiB;0.13%;4.02MB / 1.36MB;3.45MB / 21.6MB;1
2026-05-10T15:55:39Z;pqc_client_4;0.00%;14.82MiB / 7.751GiB;0.19%;4.01MB / 1.36MB;12.7MB / 21.8MB;1
2026-05-10T15:55:39Z;pqc_client_5;0.00%;9.316MiB / 7.751GiB;0.12%;4.01MB / 1.36MB;270kB / 21.5MB;1
2026-05-10T15:55:39Z;pqc_client_6;0.00%;9.41MiB / 7.751GiB;0.12%;4.01MB / 1.36MB;582kB / 21.7MB;1
2026-05-10T15:55:39Z;pqc_server;0.00%;3.723MiB / 7.751GiB;0.05%;8.15MB / 24.1MB;1.83MB / 0B;2
2026-05-10T15:55:39Z;pqc_monitor;0.00%;14.71MiB / 7.751GiB;0.19%;32.2MB / 32.2MB;9.04MB / 56.9MB;3
2026-05-10T15:55:43Z;pqc_client;86.66%;219.4MiB / 7.751GiB;2.76%;4.07MB / 1.51MB;13.7MB / 21.9MB;205
2026-05-10T15:55:43Z;pqc_client_2;121.06%;212.9MiB / 7.751GiB;2.68%;4.03MB / 1.49MB;3.48MB / 21.8MB;190
2026-05-10T15:55:43Z;pqc_client_3;119.64%;186.4MiB / 7.751GiB;2.35%;4.02MB / 1.45MB;3.45MB / 21.6MB;226
2026-05-10T15:55:43Z;pqc_client_4;119.15%;216.5MiB / 7.751GiB;2.73%;4.03MB / 1.49MB;12.7MB / 21.8MB;211
2026-05-10T15:55:43Z;pqc_client_5;88.88%;165MiB / 7.751GiB;2.08%;4.01MB / 1.45MB;270kB / 21.5MB;243
2026-05-10T15:55:43Z;pqc_client_6;95.48%;183.7MiB / 7.751GiB;2.31%;4.02MB / 1.46MB;582kB / 21.7MB;184
2026-05-10T15:55:43Z;pqc_server;0.28%;3.723MiB / 7.751GiB;0.05%;8.39MB / 24.1MB;1.83MB / 0B;2
2026-05-10T15:55:43Z;pqc_monitor;0.22%;14.73MiB / 7.751GiB;0.19%;33MB / 33MB;9.04MB / 57.4MB;3
2026-05-10T15:55:47Z;pqc_client;22.39%;171.9MiB / 7.751GiB;2.17%;4.42MB / 1.66MB;13.7MB / 23.1MB;87
2026-05-10T15:55:47Z;pqc_client_2;16.09%;231.7MiB / 7.751GiB;2.92%;4.26MB / 1.65MB;3.48MB / 21.8MB;122
2026-05-10T15:55:47Z;pqc_client_3;15.44%;239MiB / 7.751GiB;3.01%;4.24MB / 1.64MB;3.45MB / 21.6MB;125
2026-05-10T15:55:47Z;pqc_client_4;15.06%;215.3MiB / 7.751GiB;2.71%;4.31MB / 1.65MB;12.7MB / 21.8MB;110
2026-05-10T15:55:47Z;pqc_client_5;14.25%;239.5MiB / 7.751GiB;3.02%;4.23MB / 1.64MB;270kB / 21.5MB;126
2026-05-10T15:55:47Z;pqc_client_6;9.83%;215.6MiB / 7.751GiB;2.72%;4.29MB / 1.65MB;582kB / 21.7MB;113
2026-05-10T15:55:47Z;pqc_server;51.04%;3.734MiB / 7.751GiB;0.05%;9.9MB / 25.7MB;1.83MB / 0B;2
2026-05-10T15:55:47Z;pqc_monitor;0.37%;14.82MiB / 7.751GiB;0.19%;34.8MB / 34.8MB;9.04MB / 57.4MB;3
2026-05-10T15:55:51Z;pqc_client;7.92%;66.24MiB / 7.751GiB;0.83%;4.68MB / 1.69MB;13.7MB / 23.1MB;30
2026-05-10T15:55:51Z;pqc_client_2;8.10%;59.06MiB / 7.751GiB;0.74%;4.68MB / 1.69MB;3.48MB / 23MB;28
2026-05-10T15:55:51Z;pqc_client_3;15.79%;79.48MiB / 7.751GiB;1.00%;4.63MB / 1.68MB;3.45MB / 21.6MB;39
