timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-16T16:21:03Z;pqc_client;0.00%;3.582MiB / 7.751GiB;0.05%;166kB / 73.1kB;6.19MB / 1.59MB;1
2026-05-16T16:21:03Z;pqc_client_2;0.00%;1.414MiB / 7.751GiB;0.02%;165kB / 73kB;262kB / 1.49MB;1
2026-05-16T16:21:03Z;pqc_client_3;0.00%;2.047MiB / 7.751GiB;0.03%;166kB / 73.6kB;1.44MB / 1.51MB;1
2026-05-16T16:21:03Z;pqc_client_4;0.00%;1.34MiB / 7.751GiB;0.02%;165kB / 73.5kB;0B / 1.52MB;1
2026-05-16T16:21:03Z;pqc_client_5;0.00%;1.34MiB / 7.751GiB;0.02%;165kB / 73.3kB;0B / 1.51MB;1
2026-05-16T16:21:03Z;pqc_client_6;0.00%;5.539MiB / 7.751GiB;0.07%;166kB / 73.8kB;10.1MB / 1.46MB;1
2026-05-16T16:21:03Z;pqc_server;0.00%;8.84MiB / 7.751GiB;0.11%;435kB / 972kB;15.6MB / 0B;2
2026-05-16T16:21:03Z;pqc_monitor;0.13%;7.262MiB / 7.751GiB;0.09%;1.42MB / 1.41MB;14.9MB / 3.81MB;2
2026-05-16T16:21:07Z;pqc_client;0.00%;3.582MiB / 7.751GiB;0.05%;166kB / 73.2kB;6.19MB / 1.63MB;1
2026-05-16T16:21:07Z;pqc_client_2;0.00%;1.414MiB / 7.751GiB;0.02%;165kB / 73kB;262kB / 1.49MB;1
2026-05-16T16:21:07Z;pqc_client_3;0.00%;2.047MiB / 7.751GiB;0.03%;166kB / 73.7kB;1.44MB / 1.51MB;1
2026-05-16T16:21:07Z;pqc_client_4;0.00%;1.34MiB / 7.751GiB;0.02%;165kB / 73.5kB;0B / 1.52MB;1
2026-05-16T16:21:07Z;pqc_client_5;0.00%;1.34MiB / 7.751GiB;0.02%;165kB / 73.3kB;0B / 1.55MB;1
2026-05-16T16:21:07Z;pqc_client_6;0.00%;5.539MiB / 7.751GiB;0.07%;166kB / 73.8kB;10.1MB / 1.46MB;1
2026-05-16T16:21:07Z;pqc_server;0.00%;8.84MiB / 7.751GiB;0.11%;435kB / 972kB;15.6MB / 0B;2
2026-05-16T16:21:07Z;pqc_monitor;0.02%;7.262MiB / 7.751GiB;0.09%;1.42MB / 1.41MB;14.9MB / 3.92MB;2
2026-05-16T16:21:11Z;pqc_client;0.00%;3.582MiB / 7.751GiB;0.05%;166kB / 73.2kB;6.19MB / 1.63MB;1
2026-05-16T16:21:11Z;pqc_client_2;0.00%;1.414MiB / 7.751GiB;0.02%;165kB / 73kB;262kB / 1.49MB;1
2026-05-16T16:21:11Z;pqc_client_3;0.00%;2.047MiB / 7.751GiB;0.03%;166kB / 73.7kB;1.44MB / 1.51MB;1
2026-05-16T16:21:11Z;pqc_client_4;0.00%;1.34MiB / 7.751GiB;0.02%;165kB / 73.5kB;0B / 1.52MB;1
2026-05-16T16:21:11Z;pqc_client_5;0.00%;1.34MiB / 7.751GiB;0.02%;165kB / 73.3kB;0B / 1.55MB;1
2026-05-16T16:21:11Z;pqc_client_6;0.00%;5.539MiB / 7.751GiB;0.07%;166kB / 73.8kB;10.1MB / 1.5MB;1
2026-05-16T16:21:11Z;pqc_server;0.00%;8.84MiB / 7.751GiB;0.11%;435kB / 972kB;15.6MB / 0B;2
2026-05-16T16:21:11Z;pqc_monitor;0.04%;7.262MiB / 7.751GiB;0.09%;1.42MB / 1.41MB;14.9MB / 3.92MB;2
