timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-18T12:06:58Z;pqc_client;0.00%;208.9MiB / 7.751GiB;2.63%;162MB / 58.7MB;7.1MB / 627MB;1
2026-05-18T12:06:58Z;pqc_client_2;0.00%;206.3MiB / 7.751GiB;2.60%;162MB / 58.6MB;1.15MB / 627MB;1
2026-05-18T12:06:58Z;pqc_client_3;0.00%;205.8MiB / 7.751GiB;2.59%;161MB / 58.4MB;1.92MB / 621MB;1
2026-05-18T12:06:58Z;pqc_client_4;0.00%;204.4MiB / 7.751GiB;2.58%;161MB / 58.4MB;705kB / 621MB;1
2026-05-18T12:06:58Z;pqc_client_5;0.00%;205.2MiB / 7.751GiB;2.59%;161MB / 58.3MB;1.11MB / 620MB;1
2026-05-18T12:06:58Z;pqc_client_6;0.00%;210.7MiB / 7.751GiB;2.65%;161MB / 58.3MB;10.9MB / 2.01GB;1
2026-05-18T12:06:58Z;pqc_server;0.00%;8.805MiB / 7.751GiB;0.11%;350MB / 970MB;15.6MB / 0B;2
2026-05-18T12:06:58Z;pqc_monitor;0.03%;33.35MiB / 7.751GiB;0.42%;1.32GB / 1.32GB;17.3MB / 2.95GB;2
2026-05-18T12:07:03Z;pqc_client;5.29%;283.5MiB / 7.751GiB;3.57%;162MB / 58.8MB;7.1MB / 627MB;42
2026-05-18T12:07:03Z;pqc_client_2;4.70%;262.2MiB / 7.751GiB;3.30%;162MB / 58.7MB;1.16MB / 627MB;32
2026-05-18T12:07:03Z;pqc_client_3;0.66%;280.2MiB / 7.751GiB;3.53%;161MB / 58.5MB;1.92MB / 621MB;42
2026-05-18T12:07:03Z;pqc_client_4;0.00%;297.4MiB / 7.751GiB;3.75%;161MB / 58.5MB;705kB / 621MB;52
2026-05-18T12:07:03Z;pqc_client_5;1.62%;292.7MiB / 7.751GiB;3.69%;161MB / 58.4MB;1.11MB / 620MB;49
2026-05-18T12:07:03Z;pqc_client_6;0.00%;303.7MiB / 7.751GiB;3.83%;161MB / 58.4MB;10.9MB / 2.01GB;52
2026-05-18T12:07:03Z;pqc_server;5.01%;8.82MiB / 7.751GiB;0.11%;350MB / 970MB;15.6MB / 0B;2
2026-05-18T12:07:03Z;pqc_monitor;0.22%;33.42MiB / 7.751GiB;0.42%;1.32GB / 1.32GB;17.3MB / 2.95GB;2
2026-05-18T12:07:07Z;pqc_client;2.07%;235.2MiB / 7.751GiB;2.96%;162MB / 58.8MB;7.1MB / 627MB;16
2026-05-18T12:07:07Z;pqc_client_2;2.74%;238.1MiB / 7.751GiB;3.00%;162MB / 58.7MB;1.16MB / 627MB;19
2026-05-18T12:07:07Z;pqc_client_3;1.16%;263.7MiB / 7.751GiB;3.32%;161MB / 58.5MB;1.92MB / 622MB;33
2026-05-18T12:07:07Z;pqc_client_4;0.59%;290MiB / 7.751GiB;3.65%;161MB / 58.5MB;705kB / 621MB;48
2026-05-18T12:07:07Z;pqc_client_5;3.51%;272.6MiB / 7.751GiB;3.43%;161MB / 58.4MB;1.11MB / 620MB;38
2026-05-18T12:07:07Z;pqc_client_6;0.00%;303.7MiB / 7.751GiB;3.83%;161MB / 58.4MB;10.9MB / 2.01GB;52
2026-05-18T12:07:07Z;pqc_server;4.50%;8.82MiB / 7.751GiB;0.11%;350MB / 970MB;15.6MB / 0B;2
2026-05-18T12:07:07Z;pqc_monitor;0.28%;33.46MiB / 7.751GiB;0.42%;1.32GB / 1.32GB;17.3MB / 2.95GB;2
2026-05-18T12:07:11Z;pqc_client;42.25%;208.9MiB / 7.751GiB;2.63%;162MB / 58.8MB;7.1MB / 628MB;1
2026-05-18T12:07:11Z;pqc_client_2;1.05%;214.1MiB / 7.751GiB;2.70%;162MB / 58.7MB;1.16MB / 627MB;6
2026-05-18T12:07:11Z;pqc_client_3;0.65%;233.9MiB / 7.751GiB;2.95%;161MB / 58.5MB;1.92MB / 622MB;17
2026-05-18T12:07:11Z;pqc_client_4;0.00%;290MiB / 7.751GiB;3.65%;161MB / 58.5MB;705kB / 621MB;48
2026-05-18T12:07:11Z;pqc_client_5;4.86%;240.8MiB / 7.751GiB;3.03%;161MB / 58.4MB;1.11MB / 620MB;21
2026-05-18T12:07:11Z;pqc_client_6;0.00%;303.7MiB / 7.751GiB;3.83%;161MB / 58.4MB;10.9MB / 2.01GB;52
2026-05-18T12:07:11Z;pqc_server;3.84%;8.82MiB / 7.751GiB;0.11%;350MB / 971MB;15.6MB / 0B;2
2026-05-18T12:07:11Z;pqc_monitor;0.29%;33.43MiB / 7.751GiB;0.42%;1.32GB / 1.32GB;17.3MB / 2.95GB;2
2026-05-18T12:07:14Z;pqc_client;0.00%;208.9MiB / 7.751GiB;2.63%;162MB / 58.8MB;7.1MB / 628MB;1
2026-05-18T12:07:14Z;pqc_client_2;0.00%;210.3MiB / 7.751GiB;2.65%;162MB / 58.7MB;1.16MB / 628MB;4
2026-05-18T12:07:14Z;pqc_client_3;0.97%;217.2MiB / 7.751GiB;2.74%;161MB / 58.5MB;1.92MB / 622MB;8
2026-05-18T12:07:14Z;pqc_client_4;4.17%;254.8MiB / 7.751GiB;3.21%;161MB / 58.5MB;705kB / 621MB;29
2026-05-18T12:07:14Z;pqc_client_5;0.00%;220.4MiB / 7.751GiB;2.78%;161MB / 58.5MB;1.11MB / 620MB;10
2026-05-18T12:07:14Z;pqc_client_6;8.12%;259.3MiB / 7.751GiB;3.27%;161MB / 58.4MB;10.9MB / 2.01GB;28
2026-05-18T12:07:14Z;pqc_server;5.72%;8.82MiB / 7.751GiB;0.11%;350MB / 971MB;15.6MB / 0B;2
2026-05-18T12:07:14Z;pqc_monitor;0.27%;33.44MiB / 7.751GiB;0.42%;1.32GB / 1.32GB;17.3MB / 2.95GB;2
2026-05-18T12:07:18Z;pqc_client;0.00%;208.9MiB / 7.751GiB;2.63%;162MB / 58.8MB;7.1MB / 628MB;1
2026-05-18T12:07:18Z;pqc_client_2;0.00%;210.3MiB / 7.751GiB;2.65%;162MB / 58.7MB;1.16MB / 628MB;4
2026-05-18T12:07:18Z;pqc_client_3;1.81%;211.8MiB / 7.751GiB;2.67%;161MB / 58.6MB;1.92MB / 622MB;5
2026-05-18T12:07:18Z;pqc_client_4;15.92%;204.7MiB / 7.751GiB;2.58%;161MB / 58.5MB;705kB / 621MB;2
2026-05-18T12:07:18Z;pqc_client_5;1.23%;211.1MiB / 7.751GiB;2.66%;161MB / 58.5MB;1.11MB / 620MB;5
2026-05-18T12:07:18Z;pqc_client_6;27.55%;211MiB / 7.751GiB;2.66%;161MB / 58.5MB;10.9MB / 2.01GB;2
2026-05-18T12:07:18Z;pqc_server;3.67%;8.828MiB / 7.751GiB;0.11%;351MB / 971MB;15.6MB / 0B;2
2026-05-18T12:07:18Z;pqc_monitor;0.27%;33.48MiB / 7.751GiB;0.42%;1.32GB / 1.32GB;17.3MB / 2.95GB;2
2026-05-18T12:07:23Z;pqc_client;0.00%;208.9MiB / 7.751GiB;2.63%;162MB / 58.8MB;7.1MB / 628MB;1
2026-05-18T12:07:23Z;pqc_client_2;0.00%;206.4MiB / 7.751GiB;2.60%;162MB / 58.7MB;1.16MB / 628MB;1
2026-05-18T12:07:23Z;pqc_client_3;0.00%;205.9MiB / 7.751GiB;2.59%;161MB / 58.6MB;1.92MB / 622MB;1
