timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-16T16:38:10Z;pqc_client;1.60%;3.926MiB / 7.751GiB;0.05%;302kB / 135kB;6.19MB / 2.78MB;1
2026-05-16T16:38:10Z;pqc_client_2;0.69%;1.754MiB / 7.751GiB;0.02%;302kB / 135kB;262kB / 2.68MB;1
2026-05-16T16:38:10Z;pqc_client_3;1.75%;2.387MiB / 7.751GiB;0.03%;303kB / 135kB;1.44MB / 2.7MB;1
2026-05-16T16:38:10Z;pqc_client_4;1.56%;1.672MiB / 7.751GiB;0.02%;303kB / 135kB;0B / 2.71MB;1
2026-05-16T16:38:10Z;pqc_client_5;1.41%;1.676MiB / 7.751GiB;0.02%;303kB / 136kB;0B / 2.7MB;1
2026-05-16T16:38:10Z;pqc_client_6;1.52%;5.875MiB / 7.751GiB;0.07%;304kB / 137kB;10.1MB / 2.65MB;1
2026-05-16T16:38:10Z;pqc_server;1.25%;8.848MiB / 7.751GiB;0.11%;802kB / 1.8MB;15.6MB / 0B;2
2026-05-16T16:38:10Z;pqc_monitor;0.08%;7.617MiB / 7.751GiB;0.10%;2.59MB / 2.58MB;15.2MB / 7.13MB;2
2026-05-16T16:38:13Z;pqc_client;0.00%;3.926MiB / 7.751GiB;0.05%;302kB / 135kB;6.19MB / 2.78MB;1
2026-05-16T16:38:13Z;pqc_client_2;0.00%;1.754MiB / 7.751GiB;0.02%;302kB / 135kB;262kB / 2.68MB;1
2026-05-16T16:38:13Z;pqc_client_3;0.00%;2.387MiB / 7.751GiB;0.03%;303kB / 135kB;1.44MB / 2.7MB;1
2026-05-16T16:38:13Z;pqc_client_4;0.00%;1.672MiB / 7.751GiB;0.02%;303kB / 135kB;0B / 2.71MB;1
2026-05-16T16:38:13Z;pqc_client_5;0.00%;1.676MiB / 7.751GiB;0.02%;303kB / 136kB;0B / 2.7MB;1
2026-05-16T16:38:13Z;pqc_client_6;0.00%;5.875MiB / 7.751GiB;0.07%;304kB / 137kB;10.1MB / 2.65MB;1
2026-05-16T16:38:13Z;pqc_server;0.00%;8.848MiB / 7.751GiB;0.11%;802kB / 1.8MB;15.6MB / 0B;2
2026-05-16T16:38:13Z;pqc_monitor;0.17%;7.613MiB / 7.751GiB;0.10%;2.61MB / 2.6MB;15.2MB / 7.13MB;2
2026-05-16T16:38:17Z;pqc_client;0.00%;3.926MiB / 7.751GiB;0.05%;302kB / 135kB;6.19MB / 2.82MB;1
2026-05-16T16:38:17Z;pqc_client_2;0.00%;1.754MiB / 7.751GiB;0.02%;302kB / 135kB;262kB / 2.68MB;1
2026-05-16T16:38:17Z;pqc_client_3;0.00%;2.387MiB / 7.751GiB;0.03%;303kB / 135kB;1.44MB / 2.7MB;1
2026-05-16T16:38:17Z;pqc_client_4;0.00%;1.672MiB / 7.751GiB;0.02%;303kB / 135kB;0B / 2.71MB;1
2026-05-16T16:38:17Z;pqc_client_5;0.00%;1.676MiB / 7.751GiB;0.02%;303kB / 136kB;0B / 2.74MB;1
2026-05-16T16:38:17Z;pqc_client_6;0.00%;5.875MiB / 7.751GiB;0.07%;304kB / 137kB;10.1MB / 2.69MB;1
2026-05-16T16:38:17Z;pqc_server;0.00%;8.848MiB / 7.751GiB;0.11%;802kB / 1.8MB;15.6MB / 0B;2
2026-05-16T16:38:17Z;pqc_monitor;0.02%;7.613MiB / 7.751GiB;0.10%;2.61MB / 2.6MB;15.2MB / 7.13MB;2
