timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-16T17:39:21Z;pqc_client;3.14%;14.75MiB / 7.751GiB;0.19%;3.67MB / 1.62MB;6.21MB / 21.3MB;5
2026-05-16T17:39:21Z;pqc_client_2;2.15%;12.54MiB / 7.751GiB;0.16%;3.67MB / 1.62MB;524kB / 21MB;5
2026-05-16T17:39:21Z;pqc_client_3;0.00%;21.9MiB / 7.751GiB;0.28%;3.28MB / 1.46MB;1.56MB / 19.4MB;10
2026-05-16T17:39:21Z;pqc_client_4;0.00%;21.11MiB / 7.751GiB;0.27%;3.28MB / 1.45MB;0B / 18.8MB;10
2026-05-16T17:39:21Z;pqc_client_5;0.00%;21.39MiB / 7.751GiB;0.27%;3.27MB / 1.46MB;532kB / 18.7MB;10
2026-05-16T17:39:21Z;pqc_client_6;0.00%;25.39MiB / 7.751GiB;0.32%;3.28MB / 1.46MB;10.3MB / 18.5MB;10
2026-05-16T17:39:21Z;pqc_server;2.20%;8.871MiB / 7.751GiB;0.11%;9.03MB / 20.5MB;15.6MB / 0B;2
2026-05-16T17:39:21Z;pqc_monitor;0.32%;9.105MiB / 7.751GiB;0.11%;29.5MB / 29.4MB;15.2MB / 68.7MB;2
2026-05-16T17:39:24Z;pqc_client;0.00%;8.852MiB / 7.751GiB;0.11%;3.68MB / 1.62MB;6.21MB / 21.3MB;1
2026-05-16T17:39:24Z;pqc_client_2;0.00%;8.836MiB / 7.751GiB;0.11%;3.68MB / 1.62MB;524kB / 21.1MB;3
2026-05-16T17:39:24Z;pqc_client_3;1.85%;6.824MiB / 7.751GiB;0.09%;3.32MB / 1.47MB;1.56MB / 19.4MB;1
2026-05-16T17:39:24Z;pqc_client_4;1.91%;6.043MiB / 7.751GiB;0.08%;3.31MB / 1.46MB;0B / 18.8MB;1
2026-05-16T17:39:24Z;pqc_client_5;1.60%;19.7MiB / 7.751GiB;0.25%;3.29MB / 1.46MB;532kB / 18.7MB;9
2026-05-16T17:39:24Z;pqc_client_6;1.11%;23.61MiB / 7.751GiB;0.30%;3.28MB / 1.46MB;10.3MB / 18.5MB;9
2026-05-16T17:39:24Z;pqc_server;2.23%;8.871MiB / 7.751GiB;0.11%;9.05MB / 20.6MB;15.6MB / 0B;2
2026-05-16T17:39:24Z;pqc_monitor;0.16%;9.113MiB / 7.751GiB;0.11%;29.7MB / 29.6MB;15.2MB / 69.2MB;2
2026-05-16T17:39:28Z;pqc_client;0.00%;8.852MiB / 7.751GiB;0.11%;3.68MB / 1.62MB;6.21MB / 21.5MB;1
2026-05-16T17:39:28Z;pqc_client_2;0.00%;6.754MiB / 7.751GiB;0.09%;3.68MB / 1.62MB;524kB / 21.1MB;1
2026-05-16T17:39:28Z;pqc_client_3;0.00%;6.824MiB / 7.751GiB;0.09%;3.32MB / 1.47MB;1.56MB / 19.6MB;1
2026-05-16T17:39:28Z;pqc_client_4;0.00%;6.043MiB / 7.751GiB;0.08%;3.31MB / 1.46MB;0B / 19MB;1
2026-05-16T17:39:28Z;pqc_client_5;0.00%;6.305MiB / 7.751GiB;0.08%;3.31MB / 1.46MB;532kB / 18.7MB;1
2026-05-16T17:39:28Z;pqc_client_6;0.00%;10.3MiB / 7.751GiB;0.13%;3.31MB / 1.46MB;10.3MB / 18.5MB;1
2026-05-16T17:39:28Z;pqc_server;0.00%;8.852MiB / 7.751GiB;0.11%;9.05MB / 20.6MB;15.6MB / 0B;2
2026-05-16T17:39:28Z;pqc_monitor;0.10%;9.113MiB / 7.751GiB;0.11%;29.7MB / 29.6MB;15.2MB / 69.2MB;2
2026-05-16T17:39:32Z;pqc_client;0.00%;8.852MiB / 7.751GiB;0.11%;3.68MB / 1.62MB;6.21MB / 21.5MB;1
2026-05-16T17:39:32Z;pqc_client_2;0.00%;6.754MiB / 7.751GiB;0.09%;3.68MB / 1.62MB;524kB / 21.1MB;1
2026-05-16T17:39:32Z;pqc_client_3;0.00%;6.824MiB / 7.751GiB;0.09%;3.32MB / 1.47MB;1.56MB / 19.6MB;1
2026-05-16T17:39:32Z;pqc_client_4;0.00%;6.043MiB / 7.751GiB;0.08%;3.31MB / 1.46MB;0B / 19MB;1
2026-05-16T17:39:32Z;pqc_client_5;0.00%;6.305MiB / 7.751GiB;0.08%;3.31MB / 1.46MB;532kB / 18.7MB;1
2026-05-16T17:39:32Z;pqc_client_6;0.00%;10.3MiB / 7.751GiB;0.13%;3.31MB / 1.46MB;10.3MB / 18.7MB;1
2026-05-16T17:39:32Z;pqc_server;0.00%;8.852MiB / 7.751GiB;0.11%;9.05MB / 20.6MB;15.6MB / 0B;2
2026-05-16T17:39:32Z;pqc_monitor;0.02%;9.113MiB / 7.751GiB;0.11%;29.7MB / 29.6MB;15.2MB / 69.5MB;2
