timestamp,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-04-18T14:48:31Z,pqc_client,388.60%,327.4MiB / 7.751GiB,4.12%,2.04MB / 1.18MB,24.3MB / 3.72MB,173
2026-04-18T14:48:31Z,pqc_client_2,7.32%,7.352MiB / 7.751GiB,0.09%,1.87MB / 844kB,13MB / 3.48MB,3
2026-04-18T14:48:31Z,pqc_client_3,0.00%,2.375MiB / 7.751GiB,0.03%,1.87MB / 846kB,1.79MB / 3.49MB,1
2026-04-18T14:48:31Z,pqc_client_4,0.00%,2.93MiB / 7.751GiB,0.04%,1.87MB / 847kB,3.22MB / 3.48MB,1
2026-04-18T14:48:31Z,pqc_client_5,0.00%,4.176MiB / 7.751GiB,0.05%,1.87MB / 846kB,5.51MB / 3.48MB,1
2026-04-18T14:48:31Z,pqc_client_6,0.00%,1.844MiB / 7.751GiB,0.02%,1.87MB / 845kB,0B / 3.48MB,1
2026-04-18T14:48:31Z,pqc_server,44.80%,15.52MiB / 7.751GiB,0.20%,7.11MB / 15.5MB,32.5MB / 8.19kB,3
2026-04-18T14:48:31Z,pqc_monitor,0.04%,26.08MiB / 7.751GiB,0.33%,23.2MB / 23.2MB,22.5MB / 33.9MB,3
2026-04-18T14:48:48Z,pqc_client,0.00%,10.41MiB / 7.751GiB,0.13%,2.8MB / 1.26MB,24.3MB / 5.12MB,1
2026-04-18T14:48:48Z,pqc_client_2,0.00%,6.934MiB / 7.751GiB,0.09%,2.8MB / 1.26MB,13MB / 5.13MB,1
2026-04-18T14:48:48Z,pqc_client_3,0.00%,2.402MiB / 7.751GiB,0.03%,2.8MB / 1.26MB,1.79MB / 5.14MB,1
2026-04-18T14:48:48Z,pqc_client_4,0.00%,2.965MiB / 7.751GiB,0.04%,2.8MB / 1.26MB,3.22MB / 5.12MB,1
2026-04-18T14:48:48Z,pqc_client_5,0.00%,4.191MiB / 7.751GiB,0.05%,2.8MB / 1.26MB,5.51MB / 5.12MB,1
2026-04-18T14:48:48Z,pqc_client_6,0.00%,1.871MiB / 7.751GiB,0.02%,2.8MB / 1.26MB,0B / 5.12MB,1
2026-04-18T14:48:48Z,pqc_server,0.00%,15.51MiB / 7.751GiB,0.20%,7.57MB / 16.8MB,32.5MB / 8.19kB,3
2026-04-18T14:48:48Z,pqc_monitor,0.00%,26.12MiB / 7.751GiB,0.33%,24.4MB / 24.4MB,22.5MB / 33.9MB,3
2026-04-18T14:49:04Z,pqc_client,0.00%,10.41MiB / 7.751GiB,0.13%,2.8MB / 1.26MB,24.3MB / 5.12MB,1
2026-04-18T14:49:04Z,pqc_client_2,0.00%,6.934MiB / 7.751GiB,0.09%,2.8MB / 1.26MB,13MB / 5.13MB,1
2026-04-18T14:49:04Z,pqc_client_3,0.00%,2.402MiB / 7.751GiB,0.03%,2.8MB / 1.26MB,1.79MB / 5.14MB,1
2026-04-18T14:49:04Z,pqc_client_4,0.00%,2.965MiB / 7.751GiB,0.04%,2.8MB / 1.26MB,3.22MB / 5.13MB,1
2026-04-18T14:49:04Z,pqc_client_5,0.00%,4.191MiB / 7.751GiB,0.05%,2.8MB / 1.26MB,5.51MB / 5.13MB,1
2026-04-18T14:49:04Z,pqc_client_6,0.00%,1.871MiB / 7.751GiB,0.02%,2.8MB / 1.26MB,0B / 5.12MB,1
2026-04-18T14:49:04Z,pqc_server,0.00%,15.51MiB / 7.751GiB,0.20%,7.57MB / 16.8MB,32.5MB / 8.19kB,3
2026-04-18T14:49:04Z,pqc_monitor,0.00%,26.12MiB / 7.751GiB,0.33%,24.4MB / 24.4MB,22.5MB / 50.7MB,3
