timestamp,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-04-21T16:36:49Z,pqc_client,8.51%,2.133MiB / 7.751GiB,0.03%,5.52kB / 1.32kB,3.51MB / 0B,1
2026-04-21T16:36:49Z,pqc_client_2,0.00%,916KiB / 7.751GiB,0.01%,1.86kB / 406B,164kB / 0B,1
2026-04-21T16:36:49Z,pqc_client_3,0.00%,904KiB / 7.751GiB,0.01%,1.9kB / 406B,0B / 0B,1
2026-04-21T16:36:49Z,pqc_client_4,0.00%,920KiB / 7.751GiB,0.01%,1.99kB / 406B,0B / 0B,1
2026-04-21T16:36:49Z,pqc_client_5,0.00%,920KiB / 7.751GiB,0.01%,1.94kB / 406B,0B / 0B,1
2026-04-21T16:36:49Z,pqc_client_6,0.00%,916KiB / 7.751GiB,0.01%,2.53kB / 602B,0B / 0B,1
2026-04-21T16:36:49Z,pqc_server,0.00%,5.852MiB / 7.751GiB,0.07%,3.67kB / 5.15kB,17.4MB / 0B,3
2026-04-21T16:36:49Z,pqc_monitor,0.00%,2.594MiB / 7.751GiB,0.03%,10.7kB / 8.15kB,0B / 8.19kB,3
2026-04-21T16:37:05Z,pqc_client,0.00%,2.133MiB / 7.751GiB,0.03%,5.67kB / 1.4kB,3.51MB / 16.4kB,1
2026-04-21T16:37:05Z,pqc_client_2,0.00%,916KiB / 7.751GiB,0.01%,1.86kB / 406B,164kB / 0B,1
2026-04-21T16:37:05Z,pqc_client_3,0.00%,904KiB / 7.751GiB,0.01%,1.9kB / 406B,0B / 0B,1
2026-04-21T16:37:05Z,pqc_client_4,0.00%,920KiB / 7.751GiB,0.01%,1.99kB / 406B,0B / 0B,1
2026-04-21T16:37:05Z,pqc_client_5,0.00%,920KiB / 7.751GiB,0.01%,1.94kB / 406B,0B / 0B,1
2026-04-21T16:37:05Z,pqc_client_6,0.00%,916KiB / 7.751GiB,0.01%,2.53kB / 602B,0B / 0B,1
2026-04-21T16:37:05Z,pqc_server,0.00%,5.852MiB / 7.751GiB,0.07%,3.67kB / 5.15kB,17.4MB / 0B,3
2026-04-21T16:37:05Z,pqc_monitor,0.00%,2.594MiB / 7.751GiB,0.03%,10.7kB / 8.15kB,0B / 8.19kB,3
