timestamp,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-04-21T16:51:32Z,pqc_client,60.80%,68.41MiB / 7.751GiB,0.86%,377kB / 98kB,4.25MB / 958kB,128
2026-04-21T16:51:32Z,pqc_client_2,117.56%,187.3MiB / 7.751GiB,2.36%,385kB / 133kB,164kB / 942kB,160
2026-04-21T16:51:32Z,pqc_client_3,109.90%,265.5MiB / 7.751GiB,3.34%,381kB / 122kB,352kB / 934kB,234
2026-04-21T16:51:32Z,pqc_client_4,116.91%,325.4MiB / 7.751GiB,4.10%,382kB / 135kB,8.19kB / 942kB,502
2026-04-21T16:51:32Z,pqc_client_5,117.36%,353.9MiB / 7.751GiB,4.46%,413kB / 179kB,778kB / 942kB,235
2026-04-21T16:51:32Z,pqc_client_6,116.35%,416.9MiB / 7.751GiB,5.25%,426kB / 180kB,524kB / 1.01MB,287
2026-04-21T16:51:32Z,pqc_server,8.70%,10.16MiB / 7.751GiB,0.13%,1.25MB / 2.71MB,17.4MB / 0B,3
2026-04-21T16:51:32Z,pqc_monitor,0.42%,2.73MiB / 7.751GiB,0.03%,4.19MB / 4.18MB,0B / 2.02MB,3
2026-04-21T16:51:48Z,pqc_client,145.27%,608.5MiB / 7.751GiB,7.67%,492kB / 259kB,4.51MB / 1.08MB,374
2026-04-21T16:51:48Z,pqc_client_2,149.28%,648.3MiB / 7.751GiB,8.17%,543kB / 279kB,950kB / 942kB,431
2026-04-21T16:51:48Z,pqc_client_3,112.13%,712.2MiB / 7.751GiB,8.97%,527kB / 293kB,606kB / 1.16MB,475
2026-04-21T16:51:48Z,pqc_client_4,223.29%,772.4MiB / 7.751GiB,9.73%,545kB / 308kB,8.19kB / 942kB,471
2026-04-21T16:51:48Z,pqc_client_5,12.18%,711.5MiB / 7.751GiB,8.96%,702kB / 339kB,778kB / 1.16MB,426
2026-04-21T16:51:48Z,pqc_client_6,6.72%,668.2MiB / 7.751GiB,8.42%,793kB / 352kB,1.05MB / 1.7MB,400
2026-04-21T16:51:48Z,pqc_server,50.90%,10.17MiB / 7.751GiB,0.13%,2.38MB / 6.61MB,17.4MB / 0B,3
2026-04-21T16:51:48Z,pqc_monitor,0.22%,2.914MiB / 7.751GiB,0.04%,10.3MB / 10.3MB,0B / 7.82MB,3
2026-04-21T16:52:05Z,pqc_client,12.07%,356.6MiB / 7.751GiB,4.49%,1.44MB / 448kB,5.04MB / 2.02MB,212
2026-04-21T16:52:05Z,pqc_client_2,11.09%,218.3MiB / 7.751GiB,2.75%,1.72MB / 487kB,950kB / 942kB,130
2026-04-21T16:52:05Z,pqc_client_3,14.52%,119.8MiB / 7.751GiB,1.51%,1.92MB / 516kB,606kB / 3.2MB,71
2026-04-21T16:52:05Z,pqc_client_4,25.02%,76.24MiB / 7.751GiB,0.96%,2.01MB / 529kB,8.19kB / 2.23MB,45
2026-04-21T16:52:05Z,pqc_client_5,0.00%,4.699MiB / 7.751GiB,0.06%,2.15MB / 550kB,778kB / 3.28MB,1
2026-04-21T16:52:05Z,pqc_client_6,0.00%,4.828MiB / 7.751GiB,0.06%,2.15MB / 551kB,1.05MB / 1.7MB,1
2026-04-21T16:52:05Z,pqc_server,0.00%,10.17MiB / 7.751GiB,0.13%,3.3MB / 12.9MB,17.4MB / 0B,3
2026-04-21T16:52:05Z,pqc_monitor,0.00%,3.094MiB / 7.751GiB,0.04%,16.2MB / 16.2MB,0B / 7.82MB,3
2026-04-21T16:52:21Z,pqc_client,0.00%,6.426MiB / 7.751GiB,0.08%,2.16MB / 552kB,5.04MB / 2.02MB,1
2026-04-21T16:52:21Z,pqc_client_2,0.00%,4.703MiB / 7.751GiB,0.06%,2.16MB / 550kB,950kB / 1.22MB,1
2026-04-21T16:52:21Z,pqc_client_3,0.00%,4.582MiB / 7.751GiB,0.06%,2.15MB / 550kB,606kB / 3.2MB,1
2026-04-21T16:52:21Z,pqc_client_4,0.00%,4.301MiB / 7.751GiB,0.05%,2.15MB / 550kB,8.19kB / 2.23MB,1
2026-04-21T16:52:21Z,pqc_client_5,0.00%,4.699MiB / 7.751GiB,0.06%,2.15MB / 550kB,778kB / 5.35MB,1
2026-04-21T16:52:21Z,pqc_client_6,0.00%,4.828MiB / 7.751GiB,0.06%,2.15MB / 551kB,1.05MB / 5.35MB,1
2026-04-21T16:52:21Z,pqc_server,0.00%,10.17MiB / 7.751GiB,0.13%,3.3MB / 12.9MB,17.4MB / 0B,3
2026-04-21T16:52:21Z,pqc_monitor,0.00%,3.094MiB / 7.751GiB,0.04%,16.2MB / 16.2MB,0B / 28.7MB,3
