timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-04-21T17:26:37Z;pqc_client;15.87%;2.961MiB / 7.751GiB;0.04%;1.22MB / 656kB;0B / 7.47MB;1
2026-04-21T17:26:37Z;pqc_client_2;0.00%;2.938MiB / 7.751GiB;0.04%;1.22MB / 656kB;0B / 8.84MB;1
2026-04-21T17:26:37Z;pqc_client_3;0.00%;2.93MiB / 7.751GiB;0.04%;1.21MB / 654kB;0B / 7.46MB;1
2026-04-21T17:26:37Z;pqc_client_4;0.00%;2.941MiB / 7.751GiB;0.04%;1.22MB / 654kB;0B / 7.5MB;1
2026-04-21T17:26:37Z;pqc_client_5;0.00%;2.93MiB / 7.751GiB;0.04%;1.21MB / 652kB;0B / 7.45MB;1
2026-04-21T17:26:37Z;pqc_client_6;0.00%;2.914MiB / 7.751GiB;0.04%;1.21MB / 651kB;0B / 7.45MB;1
2026-04-21T17:26:37Z;pqc_server;0.00%;5.195MiB / 7.751GiB;0.07%;1.85MB / 7.27MB;5.33MB / 0B;5
2026-04-21T17:26:37Z;pqc_monitor;0.00%;11.46MiB / 7.751GiB;0.14%;9.13MB / 9.12MB;0B / 19.4MB;3
2026-04-21T17:26:53Z;pqc_client;0.00%;2.961MiB / 7.751GiB;0.04%;1.22MB / 656kB;0B / 7.52MB;1
2026-04-21T17:26:53Z;pqc_client_2;0.00%;2.938MiB / 7.751GiB;0.04%;1.22MB / 656kB;0B / 8.84MB;1
2026-04-21T17:26:53Z;pqc_client_3;0.00%;2.93MiB / 7.751GiB;0.04%;1.21MB / 654kB;0B / 7.5MB;1
2026-04-21T17:26:53Z;pqc_client_4;0.00%;2.941MiB / 7.751GiB;0.04%;1.22MB / 654kB;0B / 7.5MB;1
2026-04-21T17:26:53Z;pqc_client_5;0.00%;2.93MiB / 7.751GiB;0.04%;1.21MB / 652kB;0B / 7.45MB;1
2026-04-21T17:26:53Z;pqc_client_6;0.00%;2.914MiB / 7.751GiB;0.04%;1.21MB / 651kB;0B / 7.45MB;1
2026-04-21T17:26:53Z;pqc_server;0.00%;5.195MiB / 7.751GiB;0.07%;1.85MB / 7.27MB;5.33MB / 0B;5
2026-04-21T17:26:53Z;pqc_monitor;0.00%;11.46MiB / 7.751GiB;0.14%;9.13MB / 9.12MB;0B / 19.4MB;3
