timestamp,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-04-21T16:39:44Z,pqc_client,18.00%,2.344MiB / 7.751GiB,0.03%,20.1kB / 4.95kB,3.6MB / 16.4kB,1
2026-04-21T16:39:44Z,pqc_client_2,0.00%,972KiB / 7.751GiB,0.01%,16.3kB / 3.94kB,164kB / 0B,1
2026-04-21T16:39:44Z,pqc_client_3,0.00%,960KiB / 7.751GiB,0.01%,12.4kB / 3.08kB,0B / 0B,1
2026-04-21T16:39:44Z,pqc_client_4,0.00%,972KiB / 7.751GiB,0.01%,12.6kB / 3.08kB,0B / 41kB,1
2026-04-21T16:39:44Z,pqc_client_5,0.00%,972KiB / 7.751GiB,0.01%,12.8kB / 3.1kB,0B / 41kB,1
2026-04-21T16:39:44Z,pqc_client_6,0.00%,968KiB / 7.751GiB,0.01%,13.3kB / 3.23kB,0B / 41kB,1
2026-04-21T16:39:44Z,pqc_server,0.00%,10.08MiB / 7.751GiB,0.13%,21.3kB / 76.3kB,17.4MB / 0B,3
2026-04-21T16:39:44Z,pqc_monitor,0.00%,2.617MiB / 7.751GiB,0.03%,99.9kB / 97.3kB,0B / 197kB,3
2026-04-21T16:40:00Z,pqc_client,0.00%,2.344MiB / 7.751GiB,0.03%,20.2kB / 5.03kB,3.6MB / 65.5kB,1
2026-04-21T16:40:00Z,pqc_client_2,0.00%,972KiB / 7.751GiB,0.01%,16.4kB / 4.02kB,164kB / 49.2kB,1
2026-04-21T16:40:00Z,pqc_client_3,0.00%,960KiB / 7.751GiB,0.01%,12.5kB / 3.16kB,0B / 41kB,1
2026-04-21T16:40:00Z,pqc_client_4,0.00%,972KiB / 7.751GiB,0.01%,12.6kB / 3.08kB,0B / 41kB,1
2026-04-21T16:40:00Z,pqc_client_5,0.00%,972KiB / 7.751GiB,0.01%,12.8kB / 3.1kB,0B / 41kB,1
2026-04-21T16:40:00Z,pqc_client_6,0.00%,968KiB / 7.751GiB,0.01%,13.3kB / 3.23kB,0B / 41kB,1
2026-04-21T16:40:00Z,pqc_server,0.00%,10.08MiB / 7.751GiB,0.13%,21.3kB / 76.3kB,17.4MB / 0B,3
2026-04-21T16:40:00Z,pqc_monitor,0.00%,2.617MiB / 7.751GiB,0.03%,99.9kB / 97.3kB,0B / 197kB,3
