timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-04-21T18:06:48Z;pqc_client;128.22%;24.34MiB / 7.751GiB;0.31%;4.21MB / 1.42MB;786kB / 14.9MB;85
2026-04-21T18:06:48Z;pqc_client_2;27.85%;37.64MiB / 7.751GiB;0.47%;4.21MB / 1.41MB;1.03MB / 16.3MB;144
2026-04-21T18:06:48Z;pqc_client_3;83.81%;45.54MiB / 7.751GiB;0.57%;4.2MB / 1.41MB;852kB / 14.9MB;113
2026-04-21T18:06:48Z;pqc_client_4;24.96%;23.61MiB / 7.751GiB;0.30%;4.2MB / 1.41MB;958kB / 14.9MB;147
2026-04-21T18:06:48Z;pqc_client_5;118.15%;106.6MiB / 7.751GiB;1.34%;4.17MB / 1.41MB;524kB / 14.9MB;136
2026-04-21T18:06:48Z;pqc_client_6;100.64%;29.34MiB / 7.751GiB;0.37%;4.18MB / 1.4MB;770kB / 14.9MB;108
2026-04-21T18:06:48Z;pqc_server;0.00%;3.477MiB / 7.751GiB;0.04%;6.39MB / 25.2MB;5.34MB / 8.19kB;2
2026-04-21T18:06:48Z;pqc_monitor;0.05%;29.16MiB / 7.751GiB;0.37%;31.5MB / 31.5MB;0B / 66.9MB;3
2026-04-21T18:06:52Z;pqc_client;0.00%;8.785MiB / 7.751GiB;0.11%;4.22MB / 1.42MB;786kB / 16.4MB;1
2026-04-21T18:06:52Z;pqc_client_2;2.49%;8.867MiB / 7.751GiB;0.11%;4.22MB / 1.42MB;1.03MB / 17.8MB;1
2026-04-21T18:06:52Z;pqc_client_3;2.05%;8.816MiB / 7.751GiB;0.11%;4.21MB / 1.42MB;852kB / 14.9MB;1
2026-04-21T18:06:52Z;pqc_client_4;3.12%;8.836MiB / 7.751GiB;0.11%;4.21MB / 1.42MB;958kB / 16.4MB;1
2026-04-21T18:06:52Z;pqc_client_5;0.00%;8.598MiB / 7.751GiB;0.11%;4.18MB / 1.42MB;524kB / 14.9MB;1
2026-04-21T18:06:52Z;pqc_client_6;0.00%;8.699MiB / 7.751GiB;0.11%;4.18MB / 1.41MB;770kB / 14.9MB;1
2026-04-21T18:06:52Z;pqc_server;0.00%;3.477MiB / 7.751GiB;0.04%;6.44MB / 25.2MB;5.34MB / 8.19kB;2
2026-04-21T18:06:52Z;pqc_monitor;0.03%;29.16MiB / 7.751GiB;0.37%;31.6MB / 31.6MB;0B / 66.9MB;3
2026-04-21T18:06:56Z;pqc_client;0.00%;8.785MiB / 7.751GiB;0.11%;4.22MB / 1.42MB;786kB / 16.4MB;1
2026-04-21T18:06:56Z;pqc_client_2;0.00%;8.867MiB / 7.751GiB;0.11%;4.22MB / 1.42MB;1.03MB / 17.8MB;1
2026-04-21T18:06:56Z;pqc_client_3;0.00%;8.816MiB / 7.751GiB;0.11%;4.21MB / 1.42MB;852kB / 14.9MB;1
2026-04-21T18:06:56Z;pqc_client_4;0.00%;8.836MiB / 7.751GiB;0.11%;4.21MB / 1.42MB;958kB / 16.4MB;1
2026-04-21T18:06:56Z;pqc_client_5;0.00%;8.598MiB / 7.751GiB;0.11%;4.18MB / 1.42MB;524kB / 14.9MB;1
2026-04-21T18:06:56Z;pqc_client_6;0.00%;8.699MiB / 7.751GiB;0.11%;4.18MB / 1.41MB;770kB / 14.9MB;1
2026-04-21T18:06:56Z;pqc_server;0.00%;3.477MiB / 7.751GiB;0.04%;6.44MB / 25.2MB;5.34MB / 8.19kB;2
2026-04-21T18:06:56Z;pqc_monitor;0.00%;29.16MiB / 7.751GiB;0.37%;31.6MB / 31.6MB;0B / 66.9MB;3
2026-04-21T18:06:59Z;pqc_client;0.00%;8.785MiB / 7.751GiB;0.11%;4.22MB / 1.42MB;786kB / 16.4MB;1
2026-04-21T18:06:59Z;pqc_client_2;0.00%;8.867MiB / 7.751GiB;0.11%;4.22MB / 1.42MB;1.03MB / 17.8MB;1
2026-04-21T18:06:59Z;pqc_client_3;0.00%;8.816MiB / 7.751GiB;0.11%;4.21MB / 1.42MB;852kB / 14.9MB;1
2026-04-21T18:06:59Z;pqc_client_4;0.00%;8.836MiB / 7.751GiB;0.11%;4.21MB / 1.42MB;958kB / 16.4MB;1
2026-04-21T18:06:59Z;pqc_client_5;0.00%;8.598MiB / 7.751GiB;0.11%;4.18MB / 1.42MB;524kB / 14.9MB;1
2026-04-21T18:06:59Z;pqc_client_6;0.00%;8.699MiB / 7.751GiB;0.11%;4.18MB / 1.41MB;770kB / 14.9MB;1
2026-04-21T18:06:59Z;pqc_server;0.00%;3.477MiB / 7.751GiB;0.04%;6.44MB / 25.2MB;5.34MB / 8.19kB;2
2026-04-21T18:06:59Z;pqc_monitor;0.00%;29.16MiB / 7.751GiB;0.37%;31.6MB / 31.6MB;0B / 66.9MB;3
