timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-04-21T18:35:59Z;pqc_client;75.46%;84.56MiB / 7.751GiB;1.07%;8.65MB / 3.23MB;1.58MB / 36.3MB;84
2026-04-21T18:35:59Z;pqc_client_2;67.04%;78.15MiB / 7.751GiB;0.98%;8.65MB / 3.24MB;2.3MB / 36.4MB;85
2026-04-21T18:35:59Z;pqc_client_3;52.70%;65.95MiB / 7.751GiB;0.83%;8.63MB / 3.22MB;1.74MB / 36.3MB;104
2026-04-21T18:35:59Z;pqc_client_4;49.08%;65.15MiB / 7.751GiB;0.82%;8.63MB / 3.22MB;1.89MB / 34.6MB;96
2026-04-21T18:35:59Z;pqc_client_5;54.34%;69.21MiB / 7.751GiB;0.87%;8.57MB / 3.2MB;1.24MB / 60.7MB;100
2026-04-21T18:35:59Z;pqc_client_6;52.33%;66.83MiB / 7.751GiB;0.84%;8.58MB / 3.2MB;1.5MB / 34.4MB;104
2026-04-21T18:35:59Z;pqc_server;0.60%;5.461MiB / 7.751GiB;0.07%;17.2MB / 51.8MB;5.34MB / 8.19kB;3
2026-04-21T18:35:59Z;pqc_monitor;0.00%;58.16MiB / 7.751GiB;0.73%;69MB / 68.9MB;0B / 129MB;2
2026-04-21T18:36:03Z;pqc_client;41.66%;262MiB / 7.751GiB;3.30%;8.83MB / 3.49MB;1.58MB / 36.3MB;134
2026-04-21T18:36:03Z;pqc_client_2;193.81%;228.2MiB / 7.751GiB;2.87%;8.83MB / 3.41MB;2.3MB / 36.4MB;135
2026-04-21T18:36:03Z;pqc_client_3;62.48%;273.2MiB / 7.751GiB;3.44%;8.79MB / 3.5MB;1.74MB / 36.3MB;140
2026-04-21T18:36:03Z;pqc_client_4;51.94%;271.4MiB / 7.751GiB;3.42%;8.79MB / 3.49MB;1.89MB / 34.6MB;139
2026-04-21T18:36:03Z;pqc_client_5;48.85%;278.5MiB / 7.751GiB;3.51%;8.71MB / 3.47MB;1.24MB / 60.7MB;143
2026-04-21T18:36:03Z;pqc_client_6;77.08%;262MiB / 7.751GiB;3.30%;8.76MB / 3.47MB;1.5MB / 34.4MB;134
2026-04-21T18:36:03Z;pqc_server;42.12%;5.465MiB / 7.751GiB;0.07%;18.7MB / 52.8MB;5.34MB / 8.19kB;3
2026-04-21T18:36:03Z;pqc_monitor;0.00%;58.16MiB / 7.751GiB;0.73%;71.6MB / 71.4MB;0B / 129MB;2
