timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-04-21T18:36:59Z;pqc_client;76.26%;107.3MiB / 7.751GiB;1.35%;9.43MB / 3.56MB;1.58MB / 40.4MB;164
2026-04-21T18:36:59Z;pqc_client_2;58.67%;77.65MiB / 7.751GiB;0.98%;9.43MB / 3.56MB;2.3MB / 40.6MB;89
2026-04-21T18:36:59Z;pqc_client_3;68.91%;97.53MiB / 7.751GiB;1.23%;9.42MB / 3.56MB;1.74MB / 40.3MB;109
2026-04-21T18:36:59Z;pqc_client_4;56.14%;84.51MiB / 7.751GiB;1.06%;9.41MB / 3.56MB;1.89MB / 38.8MB;129
2026-04-21T18:36:59Z;pqc_client_5;49.91%;69.09MiB / 7.751GiB;0.87%;9.35MB / 3.53MB;1.24MB / 64.6MB;75
2026-04-21T18:36:59Z;pqc_client_6;38.37%;70.05MiB / 7.751GiB;0.88%;9.36MB / 3.54MB;1.52MB / 38.5MB;168
2026-04-21T18:36:59Z;pqc_server;0.62%;5.227MiB / 7.751GiB;0.07%;19.2MB / 56.5MB;5.34MB / 8.19kB;3
2026-04-21T18:36:59Z;pqc_monitor;0.00%;58.16MiB / 7.751GiB;0.73%;75.7MB / 75.6MB;0B / 129MB;2
2026-04-21T18:37:02Z;pqc_client;86.39%;260.8MiB / 7.751GiB;3.29%;9.49MB / 3.63MB;1.58MB / 40.4MB;156
2026-04-21T18:37:02Z;pqc_client_2;97.23%;277.8MiB / 7.751GiB;3.50%;9.46MB / 3.62MB;2.3MB / 40.6MB;164
2026-04-21T18:37:02Z;pqc_client_3;83.40%;279.4MiB / 7.751GiB;3.52%;9.46MB / 3.63MB;1.74MB / 40.3MB;164
2026-04-21T18:37:02Z;pqc_client_4;92.95%;260.7MiB / 7.751GiB;3.28%;9.47MB / 3.62MB;1.9MB / 38.8MB;159
2026-04-21T18:37:02Z;pqc_client_5;106.67%;272.4MiB / 7.751GiB;3.43%;9.4MB / 3.6MB;1.24MB / 64.6MB;162
2026-04-21T18:37:02Z;pqc_client_6;101.97%;243.4MiB / 7.751GiB;3.07%;9.43MB / 3.6MB;1.52MB / 38.5MB;156
2026-04-21T18:37:02Z;pqc_server;19.37%;5.234MiB / 7.751GiB;0.07%;19.6MB / 56.8MB;5.34MB / 8.19kB;3
2026-04-21T18:37:02Z;pqc_monitor;0.00%;58.16MiB / 7.751GiB;0.73%;76.4MB / 76.3MB;0B / 129MB;2
