timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-15T08:33:34Z;pqc_client;0.00%;5.844MiB / 7.751GiB;0.07%;2.15kB / 126B;12.9MB / 0B;1
2026-05-15T08:33:34Z;pqc_client_2;0.00%;928KiB / 7.751GiB;0.01%;1.7kB / 126B;0B / 0B;1
2026-05-15T08:33:34Z;pqc_client_3;0.00%;1.016MiB / 7.751GiB;0.01%;2.11kB / 126B;238kB / 0B;1
2026-05-15T08:33:34Z;pqc_client_4;0.00%;936KiB / 7.751GiB;0.01%;2.02kB / 126B;0B / 0B;1
2026-05-15T08:33:34Z;pqc_client_5;0.00%;936KiB / 7.751GiB;0.01%;1.74kB / 126B;0B / 0B;1
2026-05-15T08:33:34Z;pqc_client_6;0.00%;2.395MiB / 7.751GiB;0.03%;2.06kB / 126B;3.07MB / 0B;1
2026-05-15T08:33:34Z;pqc_server;0.00%;2.809MiB / 7.751GiB;0.04%;1.52kB / 126B;15.9MB / 0B;2
2026-05-15T08:33:34Z;pqc_monitor;0.00%;3.305MiB / 7.751GiB;0.04%;3.19kB / 252B;8.52MB / 0B;3
2026-05-15T08:33:38Z;pqc_client;0.00%;5.844MiB / 7.751GiB;0.07%;2.15kB / 126B;12.9MB / 0B;1
2026-05-15T08:33:38Z;pqc_client_2;0.00%;928KiB / 7.751GiB;0.01%;1.7kB / 126B;0B / 0B;1
2026-05-15T08:33:38Z;pqc_client_3;0.00%;1.016MiB / 7.751GiB;0.01%;2.11kB / 126B;238kB / 0B;1
2026-05-15T08:33:38Z;pqc_client_4;0.00%;936KiB / 7.751GiB;0.01%;2.02kB / 126B;0B / 0B;1
2026-05-15T08:33:38Z;pqc_client_5;0.00%;936KiB / 7.751GiB;0.01%;1.74kB / 126B;0B / 0B;1
2026-05-15T08:33:38Z;pqc_client_6;0.00%;2.395MiB / 7.751GiB;0.03%;2.06kB / 126B;3.07MB / 0B;1
2026-05-15T08:33:38Z;pqc_server;0.00%;2.809MiB / 7.751GiB;0.04%;1.52kB / 126B;15.9MB / 0B;2
2026-05-15T08:33:38Z;pqc_monitor;0.00%;3.305MiB / 7.751GiB;0.04%;3.19kB / 252B;8.52MB / 0B;3
2026-05-15T08:33:43Z;pqc_client;109.54%;156.5MiB / 7.751GiB;1.97%;16.1kB / 13.6kB;14.4MB / 0B;185
