timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-13T17:11:53Z;pqc_client;0.00%;7.246MiB / 7.751GiB;0.09%;1.57MB / 687kB;16.3MB / 12.9MB;1
2026-05-13T17:11:53Z;pqc_client_2;0.00%;7.09MiB / 7.751GiB;0.09%;1.57MB / 686kB;11.6MB / 7.88MB;1
2026-05-13T17:11:53Z;pqc_client_3;0.00%;1.875MiB / 7.751GiB;0.02%;1.57MB / 685kB;164kB / 7.86MB;1
2026-05-13T17:11:53Z;pqc_client_4;0.00%;1.797MiB / 7.751GiB;0.02%;1.57MB / 685kB;0B / 7.81MB;1
2026-05-13T17:11:53Z;pqc_client_5;0.00%;2.062MiB / 7.751GiB;0.03%;1.57MB / 685kB;655kB / 7.73MB;1
2026-05-13T17:11:53Z;pqc_client_6;0.00%;1.812MiB / 7.751GiB;0.02%;1.57MB / 686kB;49.2kB / 7.85MB;1
2026-05-13T17:11:53Z;pqc_server;0.00%;8.867MiB / 7.751GiB;0.11%;4.11MB / 9.41MB;15.7MB / 0B;2
2026-05-13T17:11:53Z;pqc_monitor;0.00%;3.332MiB / 7.751GiB;0.04%;13.5MB / 13.5MB;6.07MB / 0B;3
2026-05-13T17:11:56Z;pqc_client;0.00%;7.246MiB / 7.751GiB;0.09%;1.57MB / 687kB;16.3MB / 12.9MB;1
2026-05-13T17:11:56Z;pqc_client_2;0.00%;7.09MiB / 7.751GiB;0.09%;1.57MB / 686kB;11.6MB / 7.88MB;1
2026-05-13T17:11:56Z;pqc_client_3;0.00%;1.875MiB / 7.751GiB;0.02%;1.57MB / 685kB;164kB / 7.86MB;1
2026-05-13T17:11:56Z;pqc_client_4;0.00%;1.797MiB / 7.751GiB;0.02%;1.57MB / 685kB;0B / 7.81MB;1
2026-05-13T17:11:56Z;pqc_client_5;0.00%;2.062MiB / 7.751GiB;0.03%;1.57MB / 685kB;655kB / 7.73MB;1
2026-05-13T17:11:56Z;pqc_client_6;0.00%;1.812MiB / 7.751GiB;0.02%;1.57MB / 686kB;49.2kB / 7.85MB;1
2026-05-13T17:11:56Z;pqc_server;0.00%;8.867MiB / 7.751GiB;0.11%;4.11MB / 9.41MB;15.7MB / 0B;2
2026-05-13T17:11:56Z;pqc_monitor;0.00%;3.332MiB / 7.751GiB;0.04%;13.5MB / 13.5MB;6.07MB / 0B;3
2026-05-13T17:12:01Z;pqc_client;24.07%;92.27MiB / 7.751GiB;1.16%;1.59MB / 765kB;16.3MB / 12.9MB;61
2026-05-13T17:12:01Z;pqc_client_2;96.83%;254.4MiB / 7.751GiB;3.20%;1.58MB / 834kB;11.6MB / 7.88MB;190
2026-05-13T17:12:01Z;pqc_client_3;97.74%;245.6MiB / 7.751GiB;3.09%;1.59MB / 876kB;164kB / 7.86MB;204
2026-05-13T17:12:01Z;pqc_client_4;105.67%;227.7MiB / 7.751GiB;2.87%;1.58MB / 829kB;0B / 7.81MB;198
2026-05-13T17:12:01Z;pqc_client_5;98.31%;175.2MiB / 7.751GiB;2.21%;1.58MB / 790kB;655kB / 7.73MB;209
2026-05-13T17:12:01Z;pqc_client_6;103.10%;220.8MiB / 7.751GiB;2.78%;1.58MB / 819kB;49.2kB / 7.85MB;202
2026-05-13T17:12:01Z;pqc_server;0.00%;8.867MiB / 7.751GiB;0.11%;4.91MB / 9.49MB;15.7MB / 0B;2
2026-05-13T17:12:01Z;pqc_monitor;0.22%;3.344MiB / 7.751GiB;0.04%;14MB / 14MB;6.07MB / 0B;3
2026-05-13T17:12:05Z;pqc_client;4.57%;250.3MiB / 7.751GiB;3.15%;1.76MB / 969kB;16.3MB / 13.5MB;133
2026-05-13T17:12:05Z;pqc_client_2;17.84%;196.5MiB / 7.751GiB;2.48%;1.89MB / 981kB;11.6MB / 7.88MB;104
2026-05-13T17:12:05Z;pqc_client_3;16.51%;194.9MiB / 7.751GiB;2.46%;1.88MB / 980kB;164kB / 7.86MB;106
2026-05-13T17:12:05Z;pqc_client_4;26.11%;172.6MiB / 7.751GiB;2.17%;1.93MB / 985kB;0B / 7.81MB;94
2026-05-13T17:12:05Z;pqc_client_5;10.86%;223MiB / 7.751GiB;2.81%;1.81MB / 973kB;655kB / 7.73MB;121
