timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-12T09:29:22Z;pqc_client;0.00%;8.859MiB / 7.751GiB;0.11%;599kB / 152kB;16.4MB / 1.47MB;1
2026-05-12T09:29:22Z;pqc_client_2;0.00%;2.121MiB / 7.751GiB;0.03%;601kB / 151kB;786kB / 1.48MB;1
2026-05-12T09:29:22Z;pqc_client_3;0.00%;1.875MiB / 7.751GiB;0.02%;601kB / 152kB;98.3kB / 680kB;1
2026-05-12T09:29:22Z;pqc_client_4;0.00%;1.855MiB / 7.751GiB;0.02%;598kB / 152kB;16.4kB / 1.48MB;1
2026-05-12T09:29:22Z;pqc_client_5;0.00%;1.852MiB / 7.751GiB;0.02%;599kB / 152kB;8.19kB / 1.48MB;1
2026-05-12T09:29:22Z;pqc_client_6;0.00%;1.883MiB / 7.751GiB;0.02%;598kB / 152kB;106kB / 1.48MB;1
2026-05-12T09:29:22Z;pqc_server;0.00%;8.996MiB / 7.751GiB;0.11%;910kB / 3.58MB;16.5MB / 0B;2
2026-05-12T09:29:22Z;pqc_monitor;0.00%;7.121MiB / 7.751GiB;0.09%;4.49MB / 4.49MB;280MB / 8.19kB;3
2026-05-12T09:29:26Z;pqc_client;0.00%;8.859MiB / 7.751GiB;0.11%;599kB / 152kB;16.4MB / 1.48MB;1
2026-05-12T09:29:26Z;pqc_client_2;0.00%;2.121MiB / 7.751GiB;0.03%;601kB / 151kB;786kB / 1.48MB;1
2026-05-12T09:29:26Z;pqc_client_3;0.00%;1.875MiB / 7.751GiB;0.02%;601kB / 152kB;98.3kB / 1.48MB;1
2026-05-12T09:29:26Z;pqc_client_4;0.00%;1.855MiB / 7.751GiB;0.02%;598kB / 152kB;16.4kB / 1.48MB;1
2026-05-12T09:29:26Z;pqc_client_5;0.00%;1.852MiB / 7.751GiB;0.02%;599kB / 152kB;8.19kB / 1.48MB;1
2026-05-12T09:29:26Z;pqc_client_6;0.00%;1.883MiB / 7.751GiB;0.02%;598kB / 152kB;106kB / 1.48MB;1
2026-05-12T09:29:26Z;pqc_server;0.00%;8.996MiB / 7.751GiB;0.11%;910kB / 3.58MB;16.5MB / 0B;2
2026-05-12T09:29:26Z;pqc_monitor;0.00%;7.121MiB / 7.751GiB;0.09%;4.49MB / 4.49MB;280MB / 8.19kB;3
2026-05-12T09:29:29Z;pqc_client;80.95%;207.5MiB / 7.751GiB;2.61%;623kB / 191kB;16.4MB / 1.48MB;213
2026-05-12T09:29:29Z;pqc_client_2;80.65%;197.8MiB / 7.751GiB;2.49%;609kB / 175kB;786kB / 1.48MB;205
2026-05-12T09:29:29Z;pqc_client_3;80.12%;178.8MiB / 7.751GiB;2.25%;609kB / 175kB;98.3kB / 1.48MB;223
2026-05-12T09:29:29Z;pqc_client_4;79.01%;123MiB / 7.751GiB;1.55%;603kB / 166kB;16.4kB / 1.48MB;262
