timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-10T12:45:40Z;pqc_client;79.21%;142.6MiB / 7.751GiB;1.80%;1.86MB / 537kB;13.2MB / 12.2MB;219
2026-05-10T12:45:40Z;pqc_client_2;79.94%;128.7MiB / 7.751GiB;1.62%;1.86MB / 527kB;2.6MB / 12.2MB;170
2026-05-10T12:45:40Z;pqc_client_3;70.88%;117.9MiB / 7.751GiB;1.49%;1.85MB / 534kB;3.45MB / 12.2MB;186
2026-05-10T12:45:40Z;pqc_client_4;79.24%;123MiB / 7.751GiB;1.55%;1.85MB / 530kB;12.7MB / 12.1MB;152
2026-05-10T12:45:40Z;pqc_client_5;76.80%;98.29MiB / 7.751GiB;1.24%;1.85MB / 526kB;270kB / 12.1MB;264
2026-05-10T12:45:40Z;pqc_client_6;78.52%;111.2MiB / 7.751GiB;1.40%;1.85MB / 528kB;508kB / 12.1MB;128
2026-05-10T12:45:40Z;pqc_server;0.00%;3.492MiB / 7.751GiB;0.04%;3.18MB / 11.1MB;1.83MB / 0B;2
2026-05-10T12:45:40Z;pqc_monitor;0.01%;10.04MiB / 7.751GiB;0.13%;14.2MB / 14.2MB;9.04MB / 19.2MB;3
2026-05-10T12:45:45Z;pqc_client;47.35%;241.4MiB / 7.751GiB;3.04%;1.98MB / 604kB;13.2MB / 12.2MB;139
2026-05-10T12:45:45Z;pqc_client_2;32.30%;274.4MiB / 7.751GiB;3.46%;1.9MB / 594kB;2.6MB / 12.2MB;161
2026-05-10T12:45:45Z;pqc_client_3;93.88%;236.5MiB / 7.751GiB;2.98%;1.98MB / 605kB;3.45MB / 12.2MB;138
2026-05-10T12:45:45Z;pqc_client_4;45.21%;275.5MiB / 7.751GiB;3.47%;1.91MB / 594kB;12.7MB / 12.1MB;159
2026-05-10T12:45:45Z;pqc_client_5;144.13%;273.6MiB / 7.751GiB;3.45%;1.9MB / 594kB;270kB / 12.2MB;161
2026-05-10T12:45:45Z;pqc_client_6;94.98%;272MiB / 7.751GiB;3.43%;1.9MB / 594kB;508kB / 12.1MB;160
2026-05-10T12:45:45Z;pqc_server;36.67%;3.5MiB / 7.751GiB;0.04%;3.58MB / 11.6MB;1.83MB / 0B;2
2026-05-10T12:45:45Z;pqc_monitor;0.21%;10.05MiB / 7.751GiB;0.13%;14.7MB / 14.7MB;9.04MB / 19.2MB;3
2026-05-10T12:45:48Z;pqc_client;14.97%;94.73MiB / 7.751GiB;1.19%;2.29MB / 647kB;13.2MB / 12.2MB;51
2026-05-10T12:45:48Z;pqc_client_2;15.25%;87.9MiB / 7.751GiB;1.11%;2.29MB / 649kB;2.6MB / 12.2MB;49
2026-05-10T12:45:48Z;pqc_client_3;16.61%;98.12MiB / 7.751GiB;1.24%;2.27MB / 646kB;3.45MB / 12.2MB;55
2026-05-10T12:45:48Z;pqc_client_4;19.07%;88.81MiB / 7.751GiB;1.12%;2.29MB / 650kB;12.7MB / 12.1MB;47
2026-05-10T12:45:48Z;pqc_client_5;13.33%;168.6MiB / 7.751GiB;2.12%;2.11MB / 626kB;270kB / 12.2MB;98
2026-05-10T12:45:48Z;pqc_client_6;12.24%;105.3MiB / 7.751GiB;1.33%;2.24MB / 643kB;508kB / 12.1MB;60
2026-05-10T12:45:48Z;pqc_server;52.64%;3.5MiB / 7.751GiB;0.04%;3.86MB / 13.5MB;1.83MB / 0B;2
2026-05-10T12:45:48Z;pqc_monitor;0.18%;10.11MiB / 7.751GiB;0.13%;16.6MB / 16.6MB;9.04MB / 19.2MB;3
2026-05-10T12:45:52Z;pqc_client;0.00%;12.8MiB / 7.751GiB;0.16%;2.45MB / 671kB;13.2MB / 12.2MB;1
2026-05-10T12:45:52Z;pqc_client_2;0.00%;9.336MiB / 7.751GiB;0.12%;2.45MB / 672kB;2.6MB / 13.5MB;1
2026-05-10T12:45:52Z;pqc_client_3;0.00%;9.641MiB / 7.751GiB;0.12%;2.45MB / 672kB;3.45MB / 13.2MB;1
2026-05-10T12:45:52Z;pqc_client_4;0.00%;13.61MiB / 7.751GiB;0.17%;2.45MB / 672kB;12.7MB / 12.1MB;1
2026-05-10T12:45:52Z;pqc_client_5;43.72%;8.398MiB / 7.751GiB;0.11%;2.44MB / 673kB;270kB / 12.9MB;1
2026-05-10T12:45:52Z;pqc_client_6;18.24%;8.477MiB / 7.751GiB;0.11%;2.44MB / 672kB;508kB / 12.1MB;1
2026-05-10T12:45:52Z;pqc_server;0.00%;3.492MiB / 7.751GiB;0.04%;4.03MB / 14.7MB;1.83MB / 0B;2
2026-05-10T12:45:52Z;pqc_monitor;0.20%;10.17MiB / 7.751GiB;0.13%;18.7MB / 18.7MB;9.04MB / 19.2MB;3
2026-05-10T12:45:55Z;pqc_client;0.00%;12.8MiB / 7.751GiB;0.16%;2.45MB / 671kB;13.2MB / 12.2MB;1
2026-05-10T12:45:55Z;pqc_client_2;0.00%;9.336MiB / 7.751GiB;0.12%;2.45MB / 672kB;2.6MB / 13.5MB;1
2026-05-10T12:45:55Z;pqc_client_3;0.00%;9.641MiB / 7.751GiB;0.12%;2.45MB / 672kB;3.45MB / 13.2MB;1
