timestamp;container;cpu_perc;mem_usage;mem_perc;net_io;block_io;pids
2026-05-13T19:23:44Z;pqc_client;0.00%;13.5MiB / 7.751GiB;0.17%;7.06MB / 3.09MB;16.3MB / 53.2MB;2
2026-05-13T19:23:44Z;pqc_client_2;0.00%;12.58MiB / 7.751GiB;0.16%;7.06MB / 3.08MB;12MB / 35.8MB;1
2026-05-13T19:23:44Z;pqc_client_3;0.00%;7.301MiB / 7.751GiB;0.09%;7.05MB / 3.08MB;418kB / 35.6MB;1
2026-05-13T19:23:44Z;pqc_client_4;0.00%;7.586MiB / 7.751GiB;0.10%;7.05MB / 3.08MB;1.02MB / 35.6MB;1
2026-05-13T19:23:44Z;pqc_client_5;0.00%;7.398MiB / 7.751GiB;0.09%;7.05MB / 3.08MB;745kB / 35.1MB;1
2026-05-13T19:23:44Z;pqc_client_6;0.00%;7.73MiB / 7.751GiB;0.10%;7.05MB / 3.08MB;1.35MB / 35.4MB;1
2026-05-13T19:23:44Z;pqc_server;0.00%;8.867MiB / 7.751GiB;0.11%;18.5MB / 42.3MB;15.7MB / 0B;2
2026-05-13T19:23:44Z;pqc_monitor;0.00%;11.55MiB / 7.751GiB;0.15%;60.8MB / 60.8MB;6.07MB / 14.1MB;3
2026-05-13T19:23:48Z;pqc_client;0.00%;13.5MiB / 7.751GiB;0.17%;7.06MB / 3.09MB;16.3MB / 53.2MB;2
2026-05-13T19:23:48Z;pqc_client_2;0.00%;12.58MiB / 7.751GiB;0.16%;7.06MB / 3.08MB;12MB / 35.8MB;1
2026-05-13T19:23:48Z;pqc_client_3;0.00%;7.301MiB / 7.751GiB;0.09%;7.05MB / 3.08MB;418kB / 35.6MB;1
2026-05-13T19:23:48Z;pqc_client_4;0.00%;7.586MiB / 7.751GiB;0.10%;7.05MB / 3.08MB;1.02MB / 35.6MB;1
2026-05-13T19:23:48Z;pqc_client_5;0.00%;7.398MiB / 7.751GiB;0.09%;7.05MB / 3.08MB;745kB / 35.1MB;1
2026-05-13T19:23:48Z;pqc_client_6;0.00%;7.73MiB / 7.751GiB;0.10%;7.05MB / 3.08MB;1.35MB / 35.4MB;1
2026-05-13T19:23:48Z;pqc_server;0.00%;8.867MiB / 7.751GiB;0.11%;18.5MB / 42.3MB;15.7MB / 0B;2
2026-05-13T19:23:48Z;pqc_monitor;0.00%;11.55MiB / 7.751GiB;0.15%;60.8MB / 60.8MB;6.07MB / 14.1MB;3
2026-05-13T19:23:52Z;pqc_client;0.00%;13.5MiB / 7.751GiB;0.17%;7.06MB / 3.09MB;16.3MB / 53.2MB;2
2026-05-13T19:23:52Z;pqc_client_2;0.00%;12.58MiB / 7.751GiB;0.16%;7.06MB / 3.08MB;12MB / 35.8MB;1
2026-05-13T19:23:52Z;pqc_client_3;0.00%;7.301MiB / 7.751GiB;0.09%;7.05MB / 3.08MB;418kB / 35.6MB;1
2026-05-13T19:23:52Z;pqc_client_4;0.00%;7.586MiB / 7.751GiB;0.10%;7.05MB / 3.08MB;1.02MB / 35.6MB;1
2026-05-13T19:23:52Z;pqc_client_5;0.00%;7.398MiB / 7.751GiB;0.09%;7.05MB / 3.08MB;745kB / 35.1MB;1
