tcp_stream,mss_negotiated,ch_tcp_bytes,sh_tcp_bytes,ch_packets,sh_packets,handshake_duration_ms,crypto_cost_ratio_sh_over_ch,has_ch,has_sh,has_end_heuristic,handshake_complete
0,1460,1383,3572,1,1,231.956,2.582791,1,1,1,1
1,1460,1383,3572,1,1,1228.605,2.582791,1,1,1,1
2,1460,1383,3572,1,1,1261.466,2.582791,1,1,1,1
3,1460,1383,3572,1,1,3061.141,2.582791,1,1,1,1
4,1460,1383,3572,1,1,2979.918,2.582791,1,1,1,1
5,1460,1383,3572,1,1,4175.939,2.582791,1,1,1,1
6,1460,1383,3572,1,1,4667.587,2.582791,1,1,1,1
7,1460,1383,3572,1,1,4570.945,2.582791,1,1,1,1
8,1460,1383,3572,1,1,5161.922,2.582791,1,1,1,1
9,1460,1383,3572,1,1,5160.339,2.582791,1,1,1,1
10,1460,1383,3572,1,1,5218.565,2.582791,1,1,1,1
11,1460,1383,3572,1,1,5668.697,2.582791,1,1,1,1
12,1460,1383,3572,1,1,5811.722,2.582791,1,1,1,1
13,1460,1383,3572,1,1,5824.936,2.582791,1,1,1,1
14,1460,1383,3572,1,1,5873.414,2.582791,1,1,1,1
15,1460,1383,3572,1,1,5259.345,2.582791,1,1,1,1
16,1460,1383,3572,1,1,5854.052,2.582791,1,1,1,1
17,1460,1383,3572,1,1,5741.262,2.582791,1,1,1,1
18,1460,1383,3572,1,1,6043.240,2.582791,1,1,1,1
19,1460,1383,3572,1,1,6235.426,2.582791,1,1,1,1
20,1460,1383,3572,1,1,6324.424,2.582791,1,1,1,1
21,1460,1383,3572,1,1,6361.944,2.582791,1,1,1,1
22,1460,1383,3572,1,1,6400.040,2.582791,1,1,1,1
23,1460,1383,3572,1,1,5938.827,2.582791,1,1,1,1
24,1460,1383,3572,1,1,5907.160,2.582791,1,1,1,1
25,1460,1383,3572,1,1,6586.011,2.582791,1,1,1,1
26,1460,1383,3572,1,1,6715.878,2.582791,1,1,1,1
27,1460,1383,3572,1,1,6763.008,2.582791,1,1,1,1
28,1460,1383,3572,1,1,6751.073,2.582791,1,1,1,1
29,1460,1383,3572,1,1,6818.572,2.582791,1,1,1,1
30,1460,1383,3572,1,1,4420.202,2.582791,1,1,1,1
31,1460,1383,3572,1,1,6391.861,2.582791,1,1,1,1
32,1460,1383,3572,1,1,6881.311,2.582791,1,1,1,1
33,1460,1383,3572,1,1,7183.218,2.582791,1,1,1,1
34,1460,1383,3572,1,1,7045.367,2.582791,1,1,1,1
35,1460,1383,3572,1,1,7198.318,2.582791,1,1,1,1
36,1460,1383,3572,1,1,6865.043,2.582791,1,1,1,1
37,1460,1383,3572,1,1,6974.007,2.582791,1,1,1,1
38,1460,1383,3572,1,1,7307.227,2.582791,1,1,1,1
39,1460,1383,3572,1,1,7692.129,2.582791,1,1,1,1
40,1460,1383,3572,1,1,7738.423,2.582791,1,1,1,1
41,1460,1383,3572,1,1,7725.831,2.582791,1,1,1,1
42,1460,1383,3572,1,1,7482.421,2.582791,1,1,1,1
43,1460,1383,3572,1,1,7936.376,2.582791,1,1,1,1
44,1460,1383,3572,1,1,7559.304,2.582791,1,1,1,1
45,1460,1383,3572,1,1,8131.566,2.582791,1,1,1,1
